gene,description
Solyc03g119260.4.1 ,Core-2 i-branching beta-n-acetylglucosaminyltransferase family protein (AHRD V3.3 *** A0A2K3MN76_TRIPR)
Solyc03g119270.1.1 ,AP-3 complex subunit delta (AHRD V3.3 *** A0A1U8FWE5_CAPAN)
Solyc03g119280.3.1 ,"Histidine--tRNA ligase (AHRD V3.3 *** A0A1J3HAZ7_NOCCA),Pfam:PF13393"
Solyc03g119290.3.1 ,Elongation factor (AHRD V3.3 *** A0A200R8C0_9MAGN)
Solyc03g119300.4.1 ,Zinc finger protein (AHRD V3.3 *** A0A200QRC0_9MAGN)
Solyc03g119310.3.1 ,Unknown protein
Solyc03g119320.1.1 ,hypothetical protein (AHRD V3.3 *** AT1G48780.1)
Solyc03g119330.3.1 ,AMSH-like ubiquitin thioesterase.1
Solyc03g119340.3.1 ,Cysteine-rich receptor-like protein kinase 8 (AHRD V3.3 *** A0A2G3A3B2_CAPAN)
Solyc03g119350.3.1 ,"peptidase M50B-like protein (AHRD V3.3 *** AT1G67060.1),Pfam:PF13398"
Solyc03g119360.3.1 ,40S ribosomal protein S7 (AHRD V3.3 *-* A0A2G3D0S9_CAPCH)
Solyc03g119370.2.1 ,R2R3MYB transcription factor 62
Solyc03g119380.3.1 ,50S ribosomal protein L14 (AHRD V3.3 *** A0A1U8DV28_CAPAN)
Solyc03g119390.5.1 ,Transcription factor (AHRD V3.11 *** tr|A0A2G3A3C0|A0A2G3A3C0_CAPAN)
Solyc03g119400.3.1 ,DUF639 domain-containing protein (AHRD V3.3 *** A0A1Q3DCR6_CEPFO)
Solyc03g119410.1.1 ,"VQ motif-containing protein 8, chloroplastic (AHRD V3.3 *** A0A2G2WPJ8_CAPBA)"
Solyc03g119420.3.1 ,Fe-S cluster assembly protein DRE2 (AHRD V3.3 *** A0A2G2XLV2_CAPBA)
Solyc03g119430.5.1 ,"RNA-binding motif protein, X-linked 2 (AHRD V3.11 *** tr|A0A2G3D009|A0A2G3D009_CAPCH)"
Solyc03g119440.3.1 ,C2 domain-containing protein (AHRD V3.3 *** A0A1Q3BN33_CEPFO)
Solyc03g119450.3.1 ,"Chloroplastic group IIA intron splicing facilitator CRS1, chloroplastic (AHRD V3.3 *** A0A1J3K5U5_NOCCA)"
Solyc03g119460.4.1 ,Cleavage stimulating factor 64 (AHRD V3.3 *-* A0A1J3GQ83_NOCCA)
Solyc03g119470.2.1 ,DUF1666 domain-containing protein (AHRD V3.3 *** A0A1Q3CZB6_CEPFO)
Solyc03g160280.1.1 ,Mitogen activated protein kinase kinase (AHRD V3.11 *** tr|H8XXA4|H8XXA4_NICAT)
Solyc03g119485.1.1 ,Unknown protein
Solyc03g119490.4.1 ,MAP kinase kinase 3
Solyc03g119500.1.1 ,"F-box domain, Leucine-rich repeat domain, L domain-like protein (AHRD V3.3 *** A0A2U1LBL4_ARTAN)"
Solyc03g161620.1.1 ,"F-box domain, Leucine-rich repeat domain, L domain-like protein (AHRD V3.11 *-* tr|A0A2U1QPG7|A0A2U1QPG7_ARTAN)"
Solyc03g119520.5.1 ,BnaC05g48200D protein (AHRD V3.11 *** tr|A0A078HZC2|A0A078HZC2_BRANA)
Solyc03g119530.3.1 ,LOB domain-containing protein .1
Solyc03g119540.3.1 ,Zinc finger protein (AHRD V3.3 *** A0A200Q3F7_9MAGN)
Solyc03g119550.3.1 ,lysM domain-containing GPI-anchored protein 1-like (AHRD V3.3 *** A0A2I4FE18_9ROSI)
Solyc03g119560.1.1 ,B3 domain-containing protein (AHRD V3.3 *-* A0A2K3MDL6_TRIPR)
Solyc03g119570.3.1 ,Carbon catabolite repressor protein 4-like protein 5 (AHRD V3.3 *** A0A1J3I9F8_NOCCA)
Solyc03g119580.1.1 ,Solanum lycopersicum Cytokinin Response Factor 9
Solyc03g119590.1.1 ,NIMIN2c protein (AHRD V3.3 *** A0FJY4_TOBAC)
Solyc03g119600.1.1 ,NIMIN2b protein (AHRD V3.3 *** Q0MR95_TOBAC)
Solyc03g119610.1.1 ,hypothetical protein (AHRD V3.3 *** AT1G13360.1)
Solyc03g119620.1.1 ,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein (AHRD V3.3 *** Q9C9B1_ARATH)
Solyc03g119640.5.1 ,Aluminum-activated malate transporter-like (AHRD V3.11 *** tr|K4BMB3|K4BMB3_SOLLC)
Solyc03g119650.3.1 ,DENN domain and WD repeat-containing protein SC.1
Solyc03g119660.2.1 ,Protein PLANT CADMIUM RESISTANCE like (AHRD V3.3 *** A0A2R6QIE9_ACTCH)
Solyc03g119670.3.1 ,Protein CASP (AHRD V3.3 *-* A0A2G3C984_CAPCH)
Solyc03g119690.3.1 ,Eukaryotic aspartyl protease family protein (AHRD V3.3 *** Q9C6M0_ARATH)
Solyc03g119700.3.1 ,ATP-dependent Clp protease adapter protein ClpS (AHRD V3.3 *** A0A1U8FUF1_CAPAN)
Solyc03g119710.5.1 ,carbon catabolite repressor protein 4 homolog 3 (AHRD V3.11 *** tr|A0A2I4F188|A0A2I4F188_9ROSI)
Solyc03g119723.1.1 ,Unknown protein
Solyc03g119727.1.1 ,Unknown protein
Solyc03g119730.3.1 ,Histone deacetylase (AHRD V3.3 *** A0A2G3A3A8_CAPAN)
Solyc03g119740.3.1 ,Transcription factor DIVARICATA (AHRD V3.3 *** A0A1U8FVE8_CAPAN)
Solyc03g119750.4.1 ,polarity axis stabilization protein (AHRD V3.3 *** AT1G73930.2)
Solyc03g119760.3.1 ,Transmembrane Fragile-X-F-associated protein (AHRD V3.3 *** A0A2U1NH40_ARTAN)
Solyc03g119770.5.1 ,Transcription factor CYCLOIDEA (AHRD V3.11 *** tr|A0A2G3A3C3|A0A2G3A3C3_CAPAN)
Solyc03g119780.4.1 ,Transcription initiation factor TFIID subunit 2 (AHRD V3.3 *** A0A2G3A3D3_CAPAN)
Solyc03g119790.3.1 ,"Transcription factor TFIIE, alpha subunit (AHRD V3.3 *** A0A2U1NPV3_ARTAN)"
Solyc03g119800.3.1 ,Ethylene-responsive transcription factor LEP (AHRD V3.3 *** A0A2G3D147_CAPCH)
Solyc03g119810.1.1 ,At1g49000 (AHRD V3.3 *-* Q9M9A2_ARATH)
Solyc03g119820.1.1 ,Oleosin (AHRD V3.3 *** A0A200Q8I2_9MAGN)
Solyc03g119830.4.1 ,"BED zinc finger, hAT family dimerization domain protein (AHRD V3.3 *** A0A2U1NNW9_ARTAN)"
Solyc03g119840.3.1 ,Adenine nucleotide alpha hydrolases-like superfamily protein (AHRD V3.3 *** A0A2U1MLI4_ARTAN)
Solyc03g119850.2.1 ,Protein decapping 5 (AHRD V3.3 *-* A0A2G3B6L4_CAPCH)
Solyc03g119860.3.1 ,Peptidyl-prolyl cis-trans isomerase (AHRD V3.3 *** A0A2K3PFW4_TRIPR)
Solyc03g119870.3.1 ,Nuclear-interacting partner of ALK (AHRD V3.3 *** A0A1J3JWS8_NOCCA)
Solyc03g119880.3.1 ,early nodulin-like protein.1
Solyc03g119890.5.1 ,"F-box domain, Leucine-rich repeat domain, L domain-like protein (AHRD V3.11 *** tr|A0A2U1PDH8|A0A2U1PDH8_ARTAN)"
Solyc03g119900.4.1 ,Neurogenic locus notch protein-like (AHRD V3.3 *-* B6SSE6_MAIZE)
Solyc03g119910.5.1 ,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein (AHRD V3.11 *** tr|A0A2U1MX13|A0A2U1MX13_ARTAN)
Solyc03g119920.1.1 ,DUF29.1
Solyc03g119930.1.1 ,Molybdate transporter like (AHRD V3.3 *** A0A2R6PTH4_ACTCH)
Solyc03g119940.3.1 ,trichohyalin (AHRD V3.3 *** AT3G15550.1)
Solyc03g119950.1.1 ,"Pentatricopeptide repeat-containing protein, chloroplastic (AHRD V3.3 *** A0A2G2WPP9_CAPBA)"
Solyc03g119960.3.1 ,NPH3 domain (AHRD V3.3 *** A0A200Q7U6_9MAGN)
Solyc03g119970.3.1 ,"ADP,ATP carrier protein (AHRD V3.3 *** A0A2G3D148_CAPCH)"
Solyc03g119980.3.1 ,Alpha/beta-Hydrolases superfamily protein (AHRD V3.3 *** O04083_ARATH)
Solyc03g119990.4.1 ,Alpha/beta-Hydrolases superfamily protein (AHRD V3.3 *** A0A2U1NI49_ARTAN)
Solyc03g120000.3.1 ,Zinc finger protein (AHRD V3.3 *** A0A200QR26_9MAGN)
Solyc03g120010.4.1 ,Transducin/WD40 repeat-like superfamily protein (AHRD V3.3 *** A0A2U1LER1_ARTAN)
Solyc03g120020.4.1 ,HCO3-transporter family (AHRD V3.3 *** A0A2U1LER8_ARTAN)
Solyc03g120030.1.1 ,Agenet domain-containing protein (AHRD V3.3 *** A0A1Q3CB12_CEPFO)
Solyc03g120040.3.1 ,DUF642 domain-containing protein (AHRD V3.3 *** A0A1Q3BMB3_CEPFO)
Solyc03g120050.3.1 ,Unknown protein
Solyc03g120060.2.1 ,castasterone 26-hydroxylase
Solyc03g120070.4.1 ,Pentatricopeptide repeat (AHRD V3.3 *** A0A200QNZ8_9MAGN)
Solyc03g120080.4.1 ,periodic tryptophan protein 2 homolog (AHRD V3.3 *** A0A2I4EVX9_9ROSI)
Solyc03g120085.1.1 ,Unknown protein
Solyc03g120090.1.1 ,Pyridoxal 5'-phosphate synthase pdxS subunit (AHRD V3.3 *** U9T0K3_RHIID)
Solyc03g120100.3.1 ,Mitochondrial carrier protein (AHRD V3.3 *** A0A200PP03_9MAGN)
Solyc03g120110.3.1 ,Lectin protein kinase family protein (AHRD V3.3 *** A0A1I9LPL5_ARATH)
Solyc03g120120.3.1 ,Regulator of Vps4 activity in the MVB pathway protein (AHRD V3.3 *-* Q8L402_ARATH)
Solyc03g120130.4.1 ,Methyltransferase family protein (AHRD V3.3 *** A0A2U1M665_ARTAN)
Solyc03g120140.3.1 ,DUF632 domain-containing protein/DUF630 domain-containing protein (AHRD V3.3 *-* A0A1Q3CDM4_CEPFO)
Solyc03g120150.3.1 ,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family (AHRD V3.3 *-* A0A2U1N5H2_ARTAN)
Solyc03g120155.1.1 ,BnaC03g69280D protein (AHRD V3.3 --* A0A078IDV4_BRANA)
Solyc03g120160.1.1 ,hypothetical protein (AHRD V3.3 *-* AT1G67910.2)
Solyc03g120170.1.1 ,"Protein kinase, catalytic domain-containing protein (AHRD V3.3 -** A0A2U1L8L5_ARTAN)"
Solyc03g120190.3.1 ,ovate family protein 7
Solyc03g120200.2.1 ,RNA helicase DEAH-box11
Solyc03g120210.3.1 ,FCS-Like Zinc finger 8 (AHRD V3.3 --* FLZ8_ARATH)
Solyc03g120220.1.1 ,protein MAR.1
Solyc03g120230.3.1 ,MAR-binding filament-like protein.1
Solyc03g120240.3.1 ,protein SY.1
Solyc03g120250.3.1 ,Sulfate transporter (AHRD V3.3 *** A1YKF8_BRASY)
Solyc03g120260.4.1 ,Coatomer subunit beta' (AHRD V3.3 *-* A0A1Q3BXD5_CEPFO)
Solyc03g120270.4.1 ,Coatomer subunit beta' (AHRD V3.3 *** A0A200PNW4_9MAGN)
Solyc03g120280.1.1 ,Nuclear pore complex protein NUP50A (AHRD V3.3 *** A0A2G2WQ64_CAPBA)
Solyc03g120290.3.1 ,"To encode a PR protein, Belongs to the plant thionin family with the following members:, putative (AHRD V3.3 *** A0A061GH02_THECC)"
Solyc03g120300.3.1 ,CASC3/Barentsz eIF4AIII binding protein (AHRD V3.3 *-* AT1G80000.3)
Solyc03g120310.3.1 ,UDP-Glycosyltransferase superfamily protein (AHRD V3.3 *-* A0A2U1N689_ARTAN)
Solyc03g120320.1.1 ,F-box/kelch-repeat protein (AHRD V3.3 *** A0A1J3DG12_NOCCA)
Solyc03g120330.1.1 ,F-box/kelch-repeat protein (AHRD V3.3 *** A0A1J3H379_NOCCA)
Solyc03g120340.3.1 ,centromere protein C1
Solyc03g120350.3.1 ,"N-alpha-acetyltransferase 15, NatA auxiliary subunit-like (AHRD V3.3 *** A0A2I4GME8_9ROSI)"
Solyc03g120360.1.1 ,Phospholipase-like protein (PEARLI 4) family protein (AHRD V3.3 *-* A8MRF0_ARATH)
Solyc03g120370.1.1 ,Protein Ycf2 (AHRD V3.3 *-* A0A2G2YBS2_CAPAN)
Solyc03g120380.3.1 ,auxin-regulated IAA19
Solyc03g120390.3.1 ,auxin-regulated IAA15
Solyc03g120410.3.1 ,Nucleotide-diphospho-sugar transferases superfamily protein (AHRD V3.3 *** AT1G64980.3)
Solyc03g120420.3.1 ,Unknown protein
Solyc03g120430.3.1 ,D-glycerate 3-kinase (AHRD V3.3 *** A0A2K3PBX9_TRIPR)
Solyc03g120440.3.1 ,cyclin A2_1
Solyc03g120450.4.1 ,Aminotransferase (AHRD V3.3 *** A0A200PN75_9MAGN)
Solyc03g120460.5.1 ,Pentatricopeptide repeat (AHRD V3.11 *** tr|A0A200PVT3|A0A200PVT3_9MAGN)
Solyc03g120470.4.1 ,tonoplast intrinsic protein 2.2
Solyc03g120480.3.1 ,Putative eukaryotic LigT (AHRD V3.3 *** AT3G16230.2)
Solyc03g120490.3.1 ,DNA-directed RNA polymerase subunit beta (AHRD V3.3 *** AT3G16200.1)
Solyc03g120500.5.1 ,Auxin-responsive protein (AHRD V3.11 *** tr|G9HPX1|G9HPX1_SOLLC)
Solyc03g120510.1.1 ,Pentatricopeptide repeat-containing protein at3g46870-like protein (AHRD V3.3 *** A0A2K3P313_TRIPR)
Solyc03g120520.2.1 ,Peroxisome biogenesis protein 2 (AHRD V3.3 *-* A0A2G3C8M2_CAPCH)
Solyc03g120530.3.1 ,Basic helix-loop-helix (BHLH) DNA-binding superfamily protein (AHRD V3.3 *-* A0A2U1PMP2_ARTAN)
Solyc03g120540.3.1 ,Peroxyureidoacrylate/ureidoacrylate amidohydrolase (AHRD V3.3 *** A0A2K3NBB8_TRIPR)
Solyc03g120560.3.1 ,Protein NRT1/ PTR FAMILY 1.1
Solyc03g120570.3.1 ,Protein NRT1/ PTR FAMILY 1.1
Solyc03g120580.3.1 ,Unknown protein
Solyc03g120585.1.1 ,Unknown protein
Solyc03g120600.4.1 ,Plant cadmium resistance protein (AHRD V3.3 *** Q2HU50_MEDTR)
Solyc03g120610.3.1 ,Cytochrome c-type biogenesis protein (AHRD V3.3 *** A0A1U8FU75_CAPAN)
Solyc03g120620.3.1 ,Homeobox-leucine zipper protein GLABRA 2 (AHRD V3.3 *** A0A2G3A3K0_CAPAN)
Solyc03g120630.5.1 ,"30S ribosomal protein S17, chloroplastic (AHRD V3.11 *** tr|A0A2G2WPB4|A0A2G2WPB4_CAPBA)"
Solyc03g120640.3.1 ,"Photosystem I reaction center subunit VI, chloroplastic (AHRD V3.3 *** A0A2G3D0C1_CAPCH)"
Solyc03g120650.4.1 ,GDP-mannose pyrophosphorylase
Solyc03g120660.4.1 ,D-isomer specific 2-hydroxyacid dehydrogenase (AHRD V3.3 *** A0A200RC95_9MAGN)
Solyc03g120670.3.1 ,2-hydroxyacid dehydrogenase (AHRD V3.3 *** A9CH04_AGRFC)
Solyc03g120680.3.1 ,2-hydroxyacid dehydrogenase (AHRD V3.3 *** A9CH04_AGRFC)
Solyc03g120690.3.1 ,Dynein light chain (AHRD V3.3 *** A0A2G3D075_CAPCH)
Solyc03g120700.3.1 ,Vps51/Vps67 family (Components of vesicular transport) protein (AHRD V3.3 *** F4KCR7_ARATH)
Solyc03g120710.2.1 ,Late embryogenesis abundant protein (AHRD V3.3 *** A0A200PP54_9MAGN)
Solyc03g120720.3.1 ,Protein disulfide isomerase-like 1-5 (AHRD V3.3 *** A0A2G2WP56_CAPBA)
Solyc03g120730.3.1 ,Sulfite exporter TauE/SafE family protein (AHRD V3.3 *** A0A2U1KY14_ARTAN)
Solyc03g120740.1.1 ,hypothetical protein (AHRD V3.3 *** AT1G15230.1)
Solyc03g120750.3.1 ,Ras-related protein (AHRD V3.3 *** A0A2U1NEY8_ARTAN)
Solyc03g120760.4.1 ,Proline-rich receptor-like protein kinase PERK2 (AHRD V3.3 *** A0A1U8FV09_CAPAN)
Solyc03g120770.4.1 ,Phox (PX) domain-containing protein (AHRD V3.3 *** F4HZJ6_ARATH)
Solyc03g120780.3.1 ,Ribosomal protein L37 (AHRD V3.3 *** A0A1J7I2W0_LUPAN)
Solyc03g120790.1.1 ,ovate family protein 8
Solyc03g120800.4.1 ,Peroxidase (AHRD V3.3 *** K4BMM9_SOLLC)
Solyc03g120810.4.1 ,Kinesin-like protein (AHRD V3.3 *** Q9AVP4_TOBAC)
Solyc03g120820.4.1 ,Cytochrome c oxidase 19-2 (AHRD V3.3 *** A0A2U1PU27_ARTAN)
Solyc03g120830.3.1 ,transmembrane protein (AHRD V3.3 *** AT1G52155.1)
Solyc03g120840.3.1 ,Ethylene-responsive transcription factor TINY (AHRD V3.3 *** A0A2G2WP67_CAPBA)
Solyc03g120850.5.1 ,Chaperonin 60 beta (AHRD V3.11 *** tr|A0A2U1NW26|A0A2U1NW26_ARTAN)
Solyc03g120860.2.1 ,early nodulin-like protein.1
Solyc03g120870.3.1 ,CASP-like protein (AHRD V3.3 *** A0A2I4G5I1_9ROSI)
Solyc03g120880.4.1 ,Nuclear pore complex protein NUP35 (AHRD V3.3 *** A0A2G3A3R5_CAPAN)
Solyc03g120890.3.1 ,GATA transcription factor (AHRD V3.3 *** K4BMN8_SOLLC)
Solyc03g120900.3.1 ,WD40 repeat (AHRD V3.3 *** A0A200QDT5_9MAGN)
Solyc03g120910.4.1 ,Homeobox leucine-zipper protein (AHRD V3.3 *** Q76CL1_ZINVI)
Solyc03g120920.1.1 ,DUF1677 domain-containing protein (AHRD V3.3 *** A0A1Q3DB84_CEPFO)
Solyc03g120930.1.1 ,Avr9/Cf-9 rapidly elicited protein (AHRD V3.3 *** Q9ZU12_ARATH)
Solyc03g120950.3.1 ,hypothetical protein (AHRD V3.3 *** AT2G42110.1)
Solyc03g120960.1.1 ,Protein STI.1
Solyc03g120970.3.1 ,Non-heme dioxygenase N-terminal domain (AHRD V3.3 *** A0A200RBZ8_9MAGN)
Solyc03g120980.4.1 ,Pleiotropic drug resistance transporter 5 (AHRD V3.11 *** tr|I6XGC6|I6XGC6_NICPL)
Solyc03g120990.3.1 ,Malic enzyme (AHRD V3.3 *** A0A2G3D1G2_CAPCH)
Solyc03g121000.3.1 ,Protein PAF1-like protein (AHRD V3.3 *-* A0A2G3A3W1_CAPAN)
Solyc03g121010.4.1 ,Unknown protein
Solyc03g121020.3.1 ,RNA polymerase II associated factor Pa.1
Solyc03g121030.2.1 ,MMS19 nucleotide excision repair protein-like protein (AHRD V3.3 *** A0A1J3J2C2_NOCCA)
Solyc03g121040.5.1 ,Taurine catabolism dioxygenase TauD/TfdA (AHRD V3.11 *** tr|A0A200QPY7|A0A200QPY7_9MAGN)
Solyc03g121050.3.1 ,LysM domain receptor-like kinase 3 (AHRD V3.3 *** A0A2G3D1H3_CAPCH)
Solyc03g121060.4.1 ,auxin-regulated IAA26
Solyc03g121070.3.1 ,hexokinase
Solyc03g121080.3.1 ,BnaA06g11160D protein (AHRD V3.3 *-* A0A078HBJ5_BRANA)
Solyc03g121090.4.1 ,BnaC02g12160D protein (AHRD V3.3 *-* A0A078HTB1_BRANA)
Solyc03g121100.4.1 ,acid phosphatase 1-like (AHRD V3.3 *** A0A2G3A413_CAPAN)
Solyc03g121110.3.1 ,Pentatricopeptide repeat (AHRD V3.3 *** A0A200QDH1_9MAGN)
Solyc03g121120.4.1 ,DNA repair protein RadA-like protein (AHRD V3.3 *** A0A1J3K4B2_NOCCA)
Solyc03g121130.3.1 ,rRNA-processing protein FCF1-like protein (AHRD V3.3 *** A0A2G2WP95_CAPBA)
Solyc03g121140.4.1 ,"protein CHUP1, chloroplastic (AHRD V3.3 *** A0A2I4DVC6_9ROSI)"
Solyc03g121170.3.1 ,GDSL esterase/lipase (AHRD V3.3 *** A0A2G3D0R1_CAPCH)
Solyc03g121180.4.1 ,GDSL esterase/lipase (AHRD V3.3 *** A0A2G3D0P9_CAPCH)
Solyc03g121190.4.1 ,Unknown protein
Solyc03g121200.4.1 ,Unknown protein
Solyc03g121210.4.1 ,Mediator of RNA polymerase II transcription subunit 6 (AHRD V3.3 *** A0A2G3D0R6_CAPCH)
Solyc03g121220.2.1 ,DUF868 family protein (DUF868) (AHRD V3.3 *** Q9SI11_ARATH)
Solyc03g121230.3.1 ,Protein kinase family protein (AHRD V3.3 *** A0A1P8AW67_ARATH)
Solyc03g121240.1.1 ,Transcription factor HEC2 (AHRD V3.3 *** A0A2G2WPZ2_CAPBA)
Solyc03g121250.3.1 ,3'-5' exonuclease domain (AHRD V3.3 *** A0A200QLJ1_9MAGN)
Solyc03g121260.3.1 ,23S rRNA (Uracil-5-)-methyltransferase rumA (AHRD V3.3 *** A0A2K3PEV5_TRIPR)
Solyc03g121270.3.1 ,IAA-amino acid hydrolase ILR1-like protein (AHRD V3.3 *** A0A2U1PZX6_ARTAN)
Solyc03g121280.4.1 ,Core-2 i-branching beta-n-acetylglucosaminyltransferase family protein (AHRD V3.3 *** A0A2K3MN76_TRIPR)
Solyc03g121290.5.1 ,"F-box domain, Leucine-rich repeat domain, L domain-like protein (AHRD V3.11 *** tr|A0A2U1PDJ8|A0A2U1PDJ8_ARTAN)"
Solyc03g121300.2.1 ,jacalin-related lectin 19 (AHRD V3.3 *** A0A2G2XW42_CAPAN)
Solyc03g121310.2.1 ,RWD domain-containing protein.1
Solyc03g121320.3.1 ,Tudor/PWWP/MBT superfamily protein (AHRD V3.3 *** F4IXJ0_ARATH)
Solyc03g121330.3.1 ,60S ribosomal protein L28 (AHRD V3.3 *** B3TLS3_ELAGV)
Solyc03g121340.1.1 ,Unknown protein
Solyc03g121350.3.1 ,Anoctamin-like protein (AHRD V3.3 *** A0A2G2WPY2_CAPBA)
Solyc03g121360.1.1 ,Charged multivesicular body protein 1-like (AHRD V3.3 *** A0A2K3LIZ7_TRIPR)
Solyc03g121365.1.1 ,Unknown protein
Solyc03g121370.3.1 ,40S ribosomal protein S15a (AHRD V3.3 *** B6U773_MAIZE)
Solyc03g121380.3.1 ,Mitochondrial outer membrane import complex protein METAXIN (AHRD V3.3 *-* A0A2G2V8U8_CAPBA)
Solyc03g121390.1.1 ,Serine/threonine protein phosphatase 2A regulatory subunit A (AHRD V3.3 *-* A0A2K3NUS0_TRIPR)
Solyc03g121400.1.1 ,Dof zinc finger protein14
Solyc03g121410.3.1 ,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B (AHRD V3.3 *** A0A2G2V8X2_CAPBA)
Solyc03g121420.4.1 ,Inorganic pyrophosphatase.1
Solyc03g121425.1.1 ,Inorganic pyrophosphatase.1
Solyc03g121440.4.1 ,Proline-rich receptor-like protein kinase PERK13 (AHRD V3.3 *** A0A2G2XXB3_CAPAN)
Solyc03g121450.3.1 ,RNA-binding (RRM/RBD/RNP motifs) family protein (AHRD V3.3 *** Q8GYT5_ARATH)
Solyc03g121460.1.1 ,PR.1
Solyc03g121470.5.1 ,Phospholipase D (AHRD V3.11 *** tr|A0A2G2XXJ5|A0A2G2XXJ5_CAPAN)
Solyc03g121480.3.1 ,"Thioredoxin-like 2, chloroplastic (AHRD V3.3 *** A0A2G2XXH1_CAPAN)"
Solyc03g121500.3.1 ,Protein FLX-like 3 (AHRD V3.3 *** A0A1U8G3L9_CAPAN)
Solyc03g121520.3.1 ,WAS/WASL-interacting family protein (AHRD V3.3 *** AT1G55160.1)
Solyc03g121530.3.1 ,Ribonuclease III family protein (AHRD V3.3 *** A0A2K3P2M6_TRIPR)
Solyc03g121540.3.1 ,beta-galactosidase 3
Solyc03g121550.3.1 ,Unknown protein
Solyc03g121560.3.1 ,CA-responsive protein (AHRD V3.3 *** AT1G17665.1)
Solyc03g121570.3.1 ,Transmembrane 9 superfamily member (AHRD V3.3 *** A0A2G2XXI0_CAPAN)
Solyc03g121580.3.1 ,WD-40 repeat-containing protein MSI4-like (AHRD V3.3 *** A0A2I4GHJ4_9ROSI)
Solyc03g121590.3.1 ,Protein ROOT HAIR DEFECTIVE 3 homolog (AHRD V3.3 *** A0A2G2XXF0_CAPAN)
Solyc03g121600.4.1 ,Glucose-methanol-choline (GMC) oxidoreductase family protein (AHRD V3.3 *** A0A2U1MMK8_ARTAN)
Solyc03g121610.3.1 ,Serine/threonine-protein kinase PB.1
Solyc03g121620.1.1 ,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family (AHRD V3.3 *** A0A2U1MMJ0_ARTAN)
Solyc03g121630.3.1 ,Protein FAR1-RELATED SEQUENCE 4 (AHRD V3.3 *** A0A2G3D0K3_CAPCH)
Solyc03g121640.3.1 ,Chaperonin-60 kDa protein (AHRD V3.3 *** E5GCB2_CUCME)
Solyc03g121650.3.1 ,Duf724 domain-containing protein 7 (AHRD V3.3 *** A0A314KGX7_NICAT)
Solyc03g121660.3.1 ,Protein indeterminate-domain 7 (AHRD V3.3 *** A0A2G2V8T0_CAPBA)
Solyc03g121670.4.1 ,Metallo-hydrolase/oxidoreductase superfamily protein (AHRD V3.3 *** F4JEJ3_ARATH)
Solyc03g121680.3.1 ,"Beta-fructofuranosidase, insoluble isoenzyme CWINV3 (AHRD V3.3 *** A0A2G2V8U1_CAPBA)"
Solyc03g121690.1.1 ,RING/U-box superfamily protein (AHRD V3.3 *-* Q9LW05_ARATH)
Solyc03g121710.2.1 ,RNA-binding (RRM/RBD/RNP motifs) family protein (AHRD V3.3 *** F4I906_ARATH)
Solyc03g121720.2.1 ,Glyoxylate reductase 2 (AHRD V3.3 *** A0A1P8AS42_ARATH)
Solyc03g121730.3.1 ,5'-nucleotidase SurE (AHRD V3.3 *** A0A1J3GXW9_NOCCA)
Solyc03g121740.3.1 ,R2R3MYB transcription factor 26
Solyc03g121760.3.1 ,SUN-like protein 11
Solyc03g121770.2.1 ,Calmodulin-binding protein (AHRD V3.3 *** S8CHI1_9LAMI)
Solyc03g121780.1.1 ,Solyc03g121780
Solyc03g121790.2.1 ,EPIDERMAL PATTERNING FACTOR-like protein 3 (AHRD V3.3 *** A0A2G2V8R0_CAPBA)
Solyc03g121800.4.1 ,cop.1
Solyc03g121810.2.1 ,Phospholipid-transporting ATPase (AHRD V3.3 *** A0A2G2ZVU5_CAPAN)
Solyc03g121820.3.1 ,Casein kinase (AHRD V3.3 *** A2I5G0_BETVU)
Solyc03g160470.1.1 ,DUF3511 domain-containing protein (AHRD V3.11 *** tr|A0A1Q3CXE7|A0A1Q3CXE7_CEPFO)
Solyc03g121830.1.1 ,Glycylpeptide N-tetradecanoyltransferase (AHRD V3.3 *** A0A2G2ZVU0_CAPAN)
Solyc03g121840.3.1 ,telomere repeat-binding factor 4-like (AHRD V3.3 *** A0A2I4FU12_9ROSI)
Solyc03g121850.3.1 ,hypothetical protein (AHRD V3.3 *-* AT1G05950.4)
Solyc03g121860.1.1 ,"Mitochondrial import inner membrane translocase subunit TIM23-like protein (AHRD V3.3 *** A0A2K3MPU1_TRIPR),Pfam:PF02466"
Solyc03g121870.3.1 ,"Methyltransferase-like protein (AHRD V3.3 *** A0A2G3D0I7_CAPCH),Pfam:PF13489"
Solyc03g121880.5.1 ,Protein phosphatase 2C 16 (AHRD V3.11 *** tr|A0A2G2WPX5|A0A2G2WPX5_CAPBA)
Solyc03g121890.1.1 ,Hydroxyproline-rich glycoprotein family protein (AHRD V3.3 *-* Q9CAJ1_ARATH)
Solyc03g121900.1.1 ,Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain containing protein (AHRD V3.3 *** A0A2P5DNS6_PARAD)
Solyc03g121910.1.1 ,Threonine synthase (AHRD V3.3 *** B6TPP7_MAIZE)
Solyc03g121920.3.1 ,Mitochondrial carrier protein (AHRD V3.3 *** A0A200QEN9_9MAGN)
