Affy_identifier,T0 no addition,30min no addition,3hrs no addition,30 min 3mM KCl,3 hrs 3mM KCl,30 min 3mM KNO3 (A),30min 3mM KNO3 (B),3hrs 3mM KNO3 (A),3hrs 3mM KNO3 (B),Full nutrition (A),Full nutrition (B),Full nutrition (C ),Gene product
246932_at,12.3,25.4,12.8,13.2,15.2,10.2,9.5,33.5,23.9,28.4,26.8,30.9," ethylene-responsive element - like protein ethylene-responsive element binding protein homolog, Stylosanthes hamata, EMBL:U91857; supported by cDNA: gi_15010715_gb_AY045659.1_  "
246933_at,65.4,52.9,47.8,58.3,52.5,44.5,58.8,51,78.1,19.3,25.4,30.4,ZFP3 zinc finger protein  ; supported by cDNA: gi_790676_gb_L39646.1_ATHZFPC
246934_at,1.4,0.3,6.3,6,2.7,5.4,4.5,8.1,5.1,6,9.4,10,putative protein several hypothetical proteins - Arabidopsis thaliana
246935_at,272.7,316.9,230.2,272.7,295.2,273.3,118.7,298.1,174.3,424.1,318.6,234.2,leucine-rich repeats containing protein grr1 -  Glycine max. EMBL:AF019910
246936_at,135.7,138.2,133.5,144.9,119,138.6,160.7,90.5,90.4,190.8,202.3,180.9," putative protein hypothetical protein Sb07 - Picea mariana, EMBL:AF051204 "
246937_at,9,14.1,10.9,10.3,13.2,16.2,12.6,16.4,8.6,9.8,11.4,7.3," phospholipase D1-like protein phospholipase D1 - Craterostigma plantagineum, EMBL:AJ133001 "
246938_at,13.1,6.2,8.1,8.7,6.9,10.6,15.9,7.3,8,6.9,8.5,8.3,cyclin 3a
246939_at,3.3,1,3.8,3.3,2.2,3,5.4,2.9,2.3,2.1,2.2,1.9," AP2 domain containing protein AP2 domain containing protein RAP2.4 - Arabidopsis thaliana, EMBL:AF003097 "
246940_at,15.6,10.6,9.6,9.5,8.5,15.1,12.8,17.5,8.9,11.8,1.2,5.5," expressed protein glucose-6-phosphate/phosphate-translocator precursor homolog - Zea mays, PIR:T04100; "
246941_at,7.5,6.9,9.2,12.4,7.5,10.7,7.1,11.3,2.2,7.2,7.6,9.6,putative protein several hypothetical proteins - Arabidopsis thaliana
246942_at,3.4,5.2,5.7,12.7,6.4,6.8,9.3,3.3,4.3,7.6,4.3,2.7," anion exchanger-like protein chloride-bicarbonate anion exchanger AE2 - Sus scrofa, EMBL:AF120099 "
246943_at,124.8,171.8,148.9,158.4,129.5,136.4,103.2,116.1,60.7,224.2,184.9,70.5," putative protein kinase serine/threonine/tyrosine-specific protein kinase APK1 - Arabidopsis thaliana, PIR:S28615 "
246944_at,155.5,364,325.5,440.8,451.7,476.2,175.1,374.4,182.1,198.5,152.4,85.3," ubiquinol--cytochrome-c reductase-like protein ubiquinol--cytochrome-c reductase (EC 1.10.2.2) - Arabidopsis thaliana, PIR:T05357 "
246945_s_at,61.2,82.6,87.9,81.5,84.9,63.8,76.4,60,48.7,74.5,75.2,89.2," putative membrane protein hypothetical protein F19K16.31 - Arabidopsis thaliana, EMBL:AC011717 "
246946_at,58.7,74.2,90.8,65.3,86.5,72.6,59.7,81.2,54.1,60.3,62.3,65.9,putative protein
246947_at,23.4,33.9,21.5,25,29.5,23.9,14.5,31.2,19.6,47.2,35.5,46.5," cytochrome P450-like protein CYTOCHROME P450 71B1 - Thlaspi arvense, EMBL:L24438 "
246948_at,0.1,0.2,0.2,0.1,0.1,0.2,0.3,2,0.2,9.3,0.6,6.9," cytochrome P450-like protein CYTOCHROME P450 71B1 - Thlaspi arvense, EMBL:L24438 "
246949_at,10.7,17.8,14.9,15,15.8,6.7,5.4,22.5,8.2,23.6,43.9,29.4," cytochrome P450-like protein CYTOCHROME P450 71B1 - Thlaspi arvense, EMBL:L24438 "
246950_at,58.9,63.1,59.7,69,60.8,56.7,53,59.4,56.9,51.4,39.3,45.1," transcription initiation factor IID-associated factor-like protein 100 kDa subunit of Pol II transcription factor - Homo sapiens, EMBL:X95525 "
246951_at,16.3,13.2,14.9,12.6,21.6,20.2,20.7,13.7,8.3,20,17.8,22,unknown protein
246952_at,55.9,46.3,47.4,44.8,47.7,44.6,51.8,46.2,54.7,48.5,66.8,70.8,putative protein similar to unknown protein (pir||T08445);supported by full-length cDNA: Ceres:11651.
246953_at,135.8,159.8,163.4,117.7,142,121.6,135.4,99.8,89.8,81.6,94.1,99,unknown protein  ;supported by full-length cDNA: Ceres:8440.
246954_at,488,482.9,440.3,433.2,508.5,572.7,575.7,380.7,407.7,273.4,283.7,235.1,unknown protein  ; supported by cDNA: gi_15293272_gb_AY051070.1_
246955_at,111.9,140.4,123.5,130.3,114.5,169.3,137,143.9,133.9,117.6,107.4,82.4,calcium-dependent protein kinase  ; supported by cDNA: gi_289189_gb_L14771.1_ATHCALLIPR
246956_at,82.1,78.1,93.3,65.1,80,72.9,67.3,58.6,55.2,44.5,50.1,68.1,unknown protein  ; supported by cDNA: gi_7407072_gb_AF208051.1_AF208051
246957_at,205.8,232.5,249.9,230.1,227.2,216.2,202.1,186.8,157,162.5,161.9,178.8,unknown protein
246958_at,308.2,333,285.4,285.6,316.9,278.4,313.1,181.8,249.5,410.3,239.3,338.3,putative protein similar to unknown protein (gb|AAD25674.1)
246959_at,124,125.3,110.7,123.6,108.2,107.4,75.9,103.8,88.3,153.8,117.1,111,unknown protein
246960_at,165.8,147.7,171.3,173,171.9,154.8,159.2,156.5,151.1,169,115.1,140.7,unknown protein
246961_at,33.3,46.3,36.6,41.3,38.3,33.4,7.3,55.7,18.8,41.2,18.5,12.7,unknown protein
246962_s_at,190,197.6,178.9,192.1,188.2,120.1,150,123.1,118.8,138,176.6,214.1," transcription factor-like protein light-induced protein CPRF-2 - Petroselinum crispum, PIR:S16321 "
246963_at,8.1,5.1,4.1,7.6,4,4.6,5.1,1.2,2.9,1,4.8,1.1," putative protein nucleoid DNA-binding protein cnd41, chloroplast - Nicotiana tabacum, PIR:T01996 "
246964_at,40.3,46.5,43.5,47.8,48,46.5,40.2,53.6,51.7,48.9,45.2,44.5," putative protein crp1 protein - Zea mays, PIR:T01685 "
246965_at,67.7,81.7,84.6,68.5,70.8,93.2,87.4,128.4,140.3,68.5,96.3,89.1," methyltransferase-like protein methyltransferase related protein - Mus musculus, EMBL:AB023619 "
246966_at,74,71.3,54.2,65.5,73,69.9,81.8,56.8,66.5,44.8,41.4,47.8," DNA photolyase - like protein DNA photolyase - Synechocystis sp., PIR:S74805 "
246967_at,49.6,9.9,12.2,9.5,11.7,9.2,32.9,11.6,30.4,9.4,5.4,3.4,FPF1 protein
246968_at,109.2,99.9,117.9,78.1,100.6,76.5,85.2,67.9,58.9,52.8,58.4,56.6," RING finger-like protein RING-H2 finger protein RHG1a - Arabidopsis thaliana, EMBL:AF079183 "
246969_at,25.8,10.8,19.6,23.1,24.8,26.4,19,22.3,23.6,9.6,14.9,20.5,glutamic acid-rich protein other glutamic acid rich proteins
246970_at,26,15.6,21.7,29.4,20.9,27,26.5,22.6,17,15.7,12.9,19.6," cytochrome P450-like protein fatty acid omega-hydroxylase cytochrome P450 4A11 - Homo sapiens, PIR:I53015 "
246971_at,2.8,4.3,1.1,1.3,7.9,5.5,7,6.4,5.6,0.9,1.2,9.7," Protein phosphatase 2C-like protein protein phosphatase type 2C - Lotus japonicus, EMBL:AF092432 "
246972_s_at,37.8,27.7,35.5,32.1,39.8,33.5,31.7,35.2,30.4,32.1,15.2,23.7," cytochrome P-450-like protein cytochrome P-450LXXIA1 - Persea americana (avocado), EMBL:M32885 "
246973_at,34.1,38.8,45.4,42,44.7,66.8,59.7,57.4,39.9,52.4,39.9,44.4," putative protein UBIQUINONE BIOSYNTHESIS PROTEIN AARF - Providencia stuartii, EMBL:AF002165 "
246974_at,36.4,21.7,31.3,40.9,25.2,35.7,41.5,39.3,41.6,33.9,51.7,40.9,putative protein
246975_at,106.5,95,65.3,91.7,76.8,159.9,147.7,173.1,158.9,119.8,122.8,105,putative protein hypothetical proteins - Arabidopsis thaliana;supported by full-length cDNA: Ceres:42528.
246976_s_at,427.4,411.9,408.5,427.6,365.9,384.5,435.8,160.9,180.1,202.7,164.9,169.1," putative protein UBIQUINONE BIOSYNTHESIS PROTEIN AARF - Providencia stuartii, EMBL:AF002165(N-terminus) and to Esterase STE1 - Metarhizium anisopliae, EMBL:AJ251924 (C-terminus) "
246977_at,170.7,254.7,247.4,232.1,252.6,162.8,136.7,178.1,233.9,344.1,414.3,410.2," putative protein CONSTANS-like protein 1 - Malus domestica cultivar Fuji, EMBL:AF052584; supported by cDNA: gi_15450658_gb_AY052697.1_  "
246978_at,68.1,42.7,45.7,40.3,48.2,44.1,60.2,26.8,31,21.8,22.8,22.5," cytochrome P450-like protein fatty acid omega-hydroxylase cytochrome P450 4A11 - Homo sapiens, PIR:I53015; supported by cDNA: gi_16604323_gb_AY058060.1_  "
246979_s_at,38.5,20.8,27.7,22.9,31,26.9,22.1,19.7,21.4,15.7,2.3,12.3,putative protein hypothetical proteins - Arabidopsis thaliana
246980_at,81,116.6,108.8,91.3,84,82.4,90.5,80,86.8,101.8,72.4,80.6,peptidylprolyl isomerase (cyclophilin)-like  ; supported by cDNA: gi_17063169_gb_AY062106.1_
246981_at,56.6,62.9,53.6,73.9,69.8,355.8,255.1,55.7,86,27.9,38.6,52.1,unknown protein
246982_s_at,101,104.8,107.3,89.2,111.4,73,59,78.4,79.9,78.4,82.9,51.3,unknown protein
246983_at,53.1,36.3,44.4,45,35.5,48.4,36.5,51.5,44.8,33.5,31.8,44.9,receptor protein kinase-like protein  ; supported by cDNA: gi_16649054_gb_AY059897.1_
246984_at,42.7,74.8,69.6,75.2,67,50.6,37.1,37,15.2,29.8,18.5,2.7,cytochrome P450
246985_at,60.2,82.6,74.7,75.3,80.2,93.9,70,74.3,52.2,99.4,132.5,110,putative protein contains similarity to unknown protein (sp Q10058);supported by full-length cDNA: Ceres:108335.
246986_at,109.5,74.2,95.8,94.4,87.5,87,77.4,89.7,113.8,70.5,69.7,91.9,receptor-like protein kinase  ;supported by full-length cDNA: Ceres:110712.
246987_at,279.3,377.1,307.8,343.7,330.8,415.8,314.4,334.5,295.2,330.2,402.5,249.8," myb-related protein, 33.3K (pir |S71284) ;supported by full-length cDNA: Ceres:33763. "
246988_at,109,78.8,70.6,62.5,67.3,79.3,92.2,97.9,41.9,44.8,41,19,putative protein strong similarity to unknown protein (pir||T00518)
246989_at,48.9,30.2,37.4,53.8,45.3,51.5,45,59.4,35.3,43.6,32.5,33.5,unknown protein
246990_at,371.4,497.8,352,418.8,407.1,356.6,262.9,360.7,280.3,408.7,345.1,387.8,subtilisin-like serine protease ARA12 almost identical to cucumisin-like serine protease (ARA12) GI:3176874 from [Arabidopsis thaliana]
246991_at,113.8,122.1,127.6,81.6,196.7,115.4,133.5,185.6,243.7,183.4,136.6,148,peroxidase (emb|CAA66967.1)
246992_at,131,57.6,72.3,32.3,60.4,21.8,30.5,21,19.9,9.4,4.2,2.7,N-acetyltransferase hookless1-like protein
246993_at,121.4,102.5,86.3,68.8,86.5,87.1,113.6,52.7,63.3,72.7,106.7,30.3,Cys2/His2-type zinc finger protein 1 (dbj|BAA85108.1)
246994_at,42.1,38.9,32.1,38,36.1,54.7,39.3,48.9,32.1,30.5,36,42,putative protein similar to unknown protein (gb AAD30228.1)
246995_at,143.1,127.3,161.5,143.3,140.5,156.3,135.2,136.2,124.2,101.5,82,83.6,formin-like protein
246996_at,18.6,22.6,15,27.1,30.7,591.9,717,290.8,468.4,64.7,124,186.8,"putative protein similar to unknown protein (emb|CAB62102.1);supported by full-length cDNA: Ceres:40250.lateral organ boundaries (LOB) domain protein 37 (LBD37), identical to LOB DOMAIN 37 (Arabidopsis thaliana) GI:17227170 "
246997_at,22.3,17.4,18.5,21.1,18.6,83.7,95.6,32.4,57.2,22.2,28.6,36.5,putative protein similar to unknown protein (gb|AAF67766.1);supported by full-length cDNA: Ceres:512.
246998_at,56.3,64.5,54.9,44.6,70.6,57.6,55,45.3,30.9,90.6,75.1,112.2,putative protein similar to unknown protein (gb|AAC18972.1); supported by cDNA: gi_15293188_gb_AY051028.1_
246999_at,50.4,50.4,54.9,45.1,58.6,74.8,84.5,66.1,86.7,40.8,52.8,72,photoreceptor-interacting protein-like  ; supported by cDNA: gi_15451227_gb_AY054694.1_
247000_at,171,218.3,243.7,218.7,236.7,223.2,195.6,226.3,162.7,221.3,178.3,217.1,casein kinase II alpha subunit  ; supported by cDNA: gi_391602_dbj_D10246.1_ATHCK2A
247001_at,264.9,242.1,287,269.2,277.8,275.4,252.3,336.3,273.5,333.9,290.4,311.1,natural resistance-associated macrophage protein  ; supported by cDNA: gi_6468013_gb_AF202540.1_AF202540
247002_at,111.3,129.6,122.8,124.6,118.2,137.4,134.4,132.1,115.8,102.7,113.7,104.1,putative protein strong similarity to unknown protein (ref|NP_005638.1); supported by cDNA: gi_16323187_gb_AY057698.1_
247003_at,2.2,1.5,5.6,1.5,2.9,2.3,9.4,2.6,7.7,1.8,1.3,1.8,putative protein similar to unknown protein (gb|AAF26013.1)
247004_at,15.5,19,20.3,11.3,19.6,12,15.9,22.8,19.3,21.9,24.3,18.2,putative protein similar to unknown protein (gb|AAD25748.1)
247005_at,104,105.9,91.8,86.6,86.1,62.7,68.6,58,71,40.9,48.6,30.7,adenylylsulfate kinase-like protein  ;supported by full-length cDNA: Ceres:125039.
247006_at,228.8,227.2,246.5,240.5,240.7,206.1,199,214.9,192.4,314.6,341.9,354.3,unknown protein  ;supported by full-length cDNA: Ceres:2518.
247007_at,464.2,457.6,428.5,483,457.9,469.5,579.7,570.5,627.6,410.3,248.8,241.6,porin-like protein  ;supported by full-length cDNA: Ceres:12964.
247008_at,416.7,298.4,329.3,347.9,276.8,354.6,383.8,281.2,292.9,195.2,211.1,188.3,ADP-ribosylation factor-like protein  ;supported by full-length cDNA: Ceres:35979.
247009_at,1159.9,1104.6,1148.4,1167.1,1145.4,1101.4,1247.4,892.5,926.6,643.4,705.5,688.6,unknown protein  ;supported by full-length cDNA: Ceres:9946.
247010_at,536.8,583.1,604.1,577.7,543.2,602.2,630,919.9,1069.6,601.6,522.3,555,60S ribosomal protein L26  ;supported by full-length cDNA: Ceres:2561.
247011_at,599.5,594.9,541.8,505.7,530,496,659,470.4,615.8,504.4,525.4,505.3,putative protein contains similarity to NADH dehydrogenase chain CI-18;supported by full-length cDNA: Ceres:28455.
247012_at,72.9,86.1,78.4,70.9,87.6,101.6,72.7,67.2,46.6,60,91.9,71.5,putative protein contains similarity to MYB-like DNA-binding protein; supported by cDNA: gi_14532517_gb_AY039883.1_
247013_at,214.6,241.1,273.9,266.5,249.3,191,171.7,427.1,232,369.3,258.4,232.5,putative protein strong similarity to unknown protein (pir||T04718); supported by cDNA: gi_15529177_gb_AY052213.1_
247014_at,64.1,80.1,62.8,71.9,74.1,88.6,90.9,125.8,140.3,79.5,37.3,35.2,RuvB DNA helicase-like protein  ; supported by cDNA: gi_16974567_gb_AY061754.1_
247015_at,9.9,11,10.5,13.6,11.2,15.9,9.6,23.3,15.8,12.6,4.7,8.2,protease-like
247016_at,8,2.1,1.3,1.7,4.8,6.8,6.3,2.6,3.4,2.4,4.4,3,putative protein contains similarity to signal recognition particle 54 K protein
247017_at,7,7.7,7.1,8.1,5.2,6.9,6.5,7.3,2.8,4.9,2,0.2,putative protein similar to unknown protein (gb|AAF30309.1)
247018_at,7.9,4.9,5.4,5.8,4.9,7.6,8.9,6.8,5,4.1,2.8,5,AP2 domain transcription factor-like
247019_at,7.2,0.6,7.3,2.3,8.3,12.4,5,8.2,9.7,4.2,8.2,5.5,AP2 domain transcription factor-like
247020_at,26.4,21.8,17.2,15.1,17.5,20.6,17.3,13.6,13,19.5,26.4,20,putative protein strong similarity to unknown protein (emb|CAB62313.1)
247021_at,1.6,2.5,0.6,6.3,1,4.5,0.7,6.6,3.8,6.3,4.5,4.8,putative protein similar to unknown protein (pir||T04247)
247022_at,13.2,7,10.5,10.6,13.1,13.7,14.7,11.9,6.2,10,5,10.2,unknown protein
247023_at,14.6,12.6,8.3,15.3,11,10.2,6.2,10.2,3.7,16.5,17.2,13.6,putative protein similar to unknown protein (emb CAB62312.1)
247024_at,151.5,83.7,82.1,64.6,67.8,169.7,276.7,90,171.7,33.6,47.1,40.4,Expressed protein ; supported by full-length cDNA: Ceres: 4410.
247025_at,281,264.3,263.3,232.2,268.2,203.1,303.1,166.5,189.6,202.9,172.4,242.9,zeaxanthin epoxidase precursor  ; supported by cDNA: gi_10444087_gb_AF281655.1_AF281655
247026_at,20.9,11.4,14.5,12.9,9.6,121,110.6,12,14.6,11.1,5.3,1.6,protein kinase-like protein
247027_at,35.7,30.4,25.3,33,27.4,32.7,36.9,21.5,26.1,24.9,20,18.6,subtilisin-like serine protease contains similarity to subtilisin-like protease ag12 GI:757522 from [Alnus glutinosa]
247028_at,30,21.7,26.9,24.3,22.6,33.6,22.8,32.8,22.2,30.3,30.3,29.2,DNA polymerase alpha 1
247029_at,2.4,8.5,2.2,2.1,2.1,1.9,6.3,3.3,8.4,2.1,5,3.7,TINY-like protein
247030_at,225.1,178,173,120.8,160.7,98.7,120.5,52.7,133.2,42.7,38.4,47.2,putative protein similar to unknown protein (emb|CAB62301.1)
247031_at,39.6,32.5,34.8,21.1,26.3,37.5,42.1,22.6,29.6,13.6,25.1,47.2,UDP-glucuronyltransferase-like protein
247032_at,89.3,86.5,99.2,83.6,92.5,154.8,105.1,264.4,258.4,106.4,95.6,112.3,putative protein strong similarity to unknown protein (emb|CAB62118.1)
247033_at,223.9,230.7,222.8,209.1,233.8,222.5,244.3,195.5,190.9,153.7,164.7,167.1,SKP1 interacting partner 2 (SKIP2) identical to SKP1 interacting partner 2 GI:10716949 from [Arabidopsis thaliana]
247034_at,137.8,190.3,180.5,213.4,160.4,157.9,149.1,168.7,166.9,185.3,245.5,288.3,cyclin D3-like protein ;supported by full-length cDNA: Ceres:36467.
247035_at,37.1,29.1,33,34,36.4,34.4,42.3,30.5,32.5,23.8,24.5,16.8,putative protein similar to unknown protein (emb|CAB16798.1);supported by full-length cDNA: Ceres:11375.
247036_at,118.3,118.5,108.6,124.8,117.9,115.2,121.6,120.6,140.3,103.1,136.8,156.7,putative protein contains similarity to MAP3K-like protein kinase;supported by full-length cDNA: Ceres:38897.
247037_at,182.1,174.8,185.9,177.3,154.8,184.8,191,189.2,201.5,237.8,355.7,465.3,putative protein similar to unknown protein (gb|AAF64534.1);supported by full-length cDNA: Ceres:4831.
247038_at,88.9,114.5,110.6,105,102.7,58.6,48.3,51,43.1,38.4,39.3,39.5,anthranilate N-hydroxycinnamoyl/benzoyltransferase-like protein  ;supported by full-length cDNA: Ceres:32856.
247039_at,35,29.8,20.1,24.1,17.9,30.2,37.8,21,30.9,24.3,27.4,38.9,putative protein contains similarity to APC-binding protein EB1;supported by full-length cDNA: Ceres:38358.
247040_at,48.1,53.2,70.2,50.4,53.3,43.6,32.9,57,48.4,90.7,65.9,77,anthranilate N-hydroxycinnamoyl/benzoyltransferase-like protein  ;supported by full-length cDNA: Ceres:114226.
247041_at,12.5,9.7,12.6,13.7,12.2,5.9,11,2.7,5.3,0.7,0.2,1.3,floral homeotic protein apetala2-like  ;supported by full-length cDNA: Ceres:4623.
247042_at,221,295.9,345.7,326.4,299.9,314.6,258.8,403.6,416.6,307.4,319.4,330,putative protein similar to unknown protein (gb|AAF51525.1); supported by cDNA: gi_15146315_gb_AY049299.1_
247043_at,234.4,208.5,182.4,186.3,167.2,189.4,229.3,110.3,104,111.6,109.4,141.6," protein kinase, 41K (EC 2.7.1.-) (pir||S71172)  ; supported by cDNA: gi_166818_gb_L05562.1_ATHPROKINB  "
247044_at,39.7,42,33.2,40.9,34.8,39.1,42.6,28.1,26.6,19.7,9.1,27.6,MAP protein kinase  ; supported by cDNA: gi_13430659_gb_AF360242.1_AF360242
247045_at,179.5,173.3,174.4,148.9,160.6,103.1,116.5,107.1,76.9,93.3,143.7,124.7,putative protein similar to unknown protein (pir||T38383); supported by cDNA: gi_15810344_gb_AY056211.1_
247046_at,49.1,53.5,61.5,64.4,64.7,100,76,126.9,164.6,60.4,57.5,48.3,unknown protein  ; supported by cDNA: gi_14488062_gb_AF389279.1_AF389279
247047_at,23.6,12.5,12.7,12.1,15.4,19.6,14.9,16.3,12.6,17.1,22.3,24.1,putative protein contains similarity to unknown protein (gb AAC17084.1); supported by cDNA: gi_14596230_gb_AY042903.1_
247048_at,70.2,56.9,58.5,53.4,56.7,52.1,48.7,37.5,45.3,36.5,39.9,61.4,photoreceptor-interacting protein-like  ; supported by cDNA: gi_15146317_gb_AY049300.1_
247049_at,168.7,152.8,185.2,180.8,156.2,97.3,84.8,193.9,218.9,132.1,146.2,121.4,putative protein similar to unknown protein (pir||T05276); supported by cDNA: gi_15292834_gb_AY050851.1_
247050_at,12.6,5.3,16,9.2,9,17.1,12.8,23.9,8.8,4.9,12,6.7,At14a protein-like
247051_at,24.5,20.6,17.6,12.9,15.5,21.7,24.4,11.6,13.9,9.5,0.9,5.7,At14a protein-like
247052_at,82.9,26.8,26.2,30.8,27.4,12.8,16.3,15.5,12.2,16.6,14.6,13.2,homeodomain transcription factor-like
247053_at,29.9,14.7,16,25.7,23.7,32.1,15,33.4,21,16.4,16.1,18.6,protein kinase ATN1-like protein
247054_at,153.3,167.1,168.1,117.5,162.5,108,91.3,122.1,128.7,97.9,74.1,79.2,zinc finger protein
247055_at,1,0.7,0.3,0.4,0.7,1.2,0.7,2.5,0.4,5.5,0.5,0.3,putative protein similar to unknown protein (emb|CAB81597.1)
247056_at,24.3,27.4,34.1,25,27.8,27.7,29.9,43.1,42.5,30.4,13.6,16.6,SWI2/SNF2-like protein (gb|AAD28303.1)
247057_at,42,42.3,35.4,38.4,35,23.4,17.8,48.5,58.9,35.1,19.5,22.3,SCARECROW gene regulator
247058_at,558.1,628,595.6,566.7,598.3,560.9,550.4,638.5,649.9,665,708.2,695.5,dolichyl-di-phosphooligosaccharide-protein glycotransferase (oligosaccharyltransferase)-like  ;supported by full-length cDNA: Ceres:18419.
247059_at,1169.3,940.2,970.1,583,959.9,469.5,506.6,475.5,858.4,373.5,371,254.4,UTP-glucose glucosyltransferase  ;supported by full-length cDNA: Ceres:151441.
247060_at,807,780.4,796.9,588.7,721.7,709,822.6,613.4,675.9,582.1,247.2,296.5,succinate dehydrogenase flavoprotein alpha subunit (emb|CAA05025.1)  ; supported by cDNA: gi_15010745_gb_AY045674.1_
247061_at,2.7,1.2,0.8,2.2,3.5,0.9,1,0.3,0.7,7.5,0.7,0.4,putative protein similar to unknown protein (pir |T09249); supported by cDNA: gi_15081693_gb_AY048239.1_
247062_at,83.4,96.4,93,94.2,95.8,89.7,92.2,81.8,81.1,86.6,78,76.9,putative protein similar to unknown protein (gb|AAB71479.1|)
247063_at,155.3,213.9,239.2,197.2,221,215.1,193.6,123.7,134.1,81.9,66.2,76.3,unknown protein
247064_at,15.3,14,11.3,12.5,9.4,18.6,19.4,23.4,8.4,8.4,5,7.4,putative protein contains similarity to disease resistance protein
247065_s_at,164.2,133.4,140.5,136.6,143.7,133,127.3,124.9,86.1,120.1,116.5,118.8,disease resistance protein-like
247066_at,21.3,14.8,17.6,23.6,19.7,21.3,17,24.7,19.9,21.3,19.6,28.6,DNA binding protein-like
247067_at,213.6,235.8,253.8,209.4,240.6,207.8,212,192.8,244.5,124.1,146.6,148.3,putative protein strong similarity to unknown protein (emb CAB16785.1)
247068_at,16.6,14.2,13.9,26.7,15.5,25.1,17.2,22,23.3,12.8,14.9,19,putative protein similar to unknown protein (emb|CAB62433.1|);supported by full-length cDNA: Ceres:102248.
247069_at,205.9,181.6,194.8,228.2,204.2,311.1,283.9,295.9,325.5,180.5,211.5,218.7,pectinesterase like protein  ;supported by full-length cDNA: Ceres:116979.
247070_at,47.6,112.6,93.5,81.5,96.6,100.9,83.2,16.4,36.7,5.6,6.7,13.5,Expressed protein ; supported by full-length cDNA: Ceres: 14679.
247071_at,24.9,17.2,17.4,20.2,16,14.4,20,7.7,22.3,8.6,2.4,8.8,putative protein similar to unknown protein (emb CAB16816.1)
247072_at,123.4,112.5,127.8,101.8,105.4,90.8,107.4,90,98.6,181.8,196.9,159.4,putative protein similar to unknown protein (pir||T08411);supported by full-length cDNA: Ceres:93374.
247073_at,192.7,275.9,206,283.2,227.3,211,299.1,311.9,257.5,1579.5,1806.8,2064.8,33 kDa polypeptide of oxygen-evolving complex (OEC) in photosystem II (emb|CAA75629.1)  ;supported by full-length cDNA: Ceres:37218.
247074_at,56.8,54.3,42.7,42.4,40.3,34.1,45,59.4,77.1,36.4,49.4,74.5,putative protein contains similarity to pathogenesis-related protein;supported by full-length cDNA: Ceres:2152.
247075_at,141.2,166.5,168.1,140.8,163,139.7,151.5,182.7,177.2,155.8,147.3,185.5,putative protein contains similarity to ATP binding protein associated with cell differentiation;supported by full-length cDNA: Ceres:2489.
247076_at,414,433.9,411.2,404.9,397.8,422.7,457,426.7,430.3,438.5,449.6,443.8,ferripyochelin-binding protein-like  ;supported by full-length cDNA: Ceres:34700.
247077_at,239.6,203.5,193.4,206,209.5,200.8,231.8,143.1,186.9,156.8,136,146.2,putative protein similar to unknown protein (sp|P55606); supported by cDNA: gi_14190422_gb_AF378889.1_AF378889
247078_at,30.9,27,28.2,29.7,25.4,26.6,24.7,29.2,31.3,34,40.7,37,unknown protein  ; supported by cDNA: gi_15028020_gb_AY045867.1_
247079_at,57.2,57.1,50,54.9,50.2,54.2,51.4,65.2,58.5,97.3,102.8,111.3,Expressed protein ; supported by cDNA: gi_15450522_gb_AY052363.1_
247080_at,183,191.3,184.7,184.8,185.3,166.8,178,188.4,243.7,215.5,288.5,247.9,20S proteasome subunit PAD2 (gb|AAC32059.1)  ; supported by cDNA: gi_3421081_gb_AF043523.1_AF043523
247081_at,33.1,26.7,27.9,29.5,38.2,28.7,24.9,32.2,31.1,30.9,26.4,30.5,AtRAD17 (dbj|BAA90479.1)  ; supported by cDNA: gi_6855471_dbj_AB030250.1_AB030250
247082_at,137.8,160.1,108,112.5,139.1,134.8,144.9,123.5,105.4,170.8,154.8,163.6,putative protein contains similarity to myosin heavy chain; supported by cDNA: gi_15983361_gb_AF424555.1_AF424555
247083_at,55.4,62.8,68.2,65.1,61.3,70.3,66,53.1,51.4,62,56.9,49.9,unknown protein
247084_at,18.6,15.1,13.4,17.9,11.8,14.5,14.5,13.8,13.8,1.8,13.3,4.4,NAM (no apical meristem)-like protein
247085_at,56.7,34.9,37.7,33.7,39.1,44,42.5,36,36.7,28.2,32.6,40.4,kinesin heavy chain DNA binding protein-like
247086_at,77.9,58.9,51.6,50.2,57.1,41.3,38.9,46.1,57.7,48.7,42.1,45.8,GATA-binding transcription factor-like protein
247087_at,19,16.8,12,14.4,19.9,8.8,18.6,9.4,16.4,15.4,6,21.9,putative protein contains similarity to elicitor-inducible receptor-like protein
247088_at,20.7,15,13.2,20.2,20.3,25.1,11.1,16.1,16.3,14.3,18.3,23.8,unknown protein
247089_at,48.8,41.4,46.8,56.4,50.6,62.3,47.8,64.9,38.4,57,68.2,54.2,dimethyladenosine transferase-like protein
247090_at,4.1,0.3,2.3,1,2.9,3.4,3.6,1.4,1,2.9,0.3,0.5,putative protein similar to unknown protein (emb CAB62624.1)
247091_at,279.4,263.2,202.6,199.1,245.9,209.3,295.5,209.2,262,105.7,130.4,159.6,peroxidase (emb CAA66964.1)
247092_at,63.6,62.6,69.6,66,65.9,60.4,55.7,53.7,52.5,64.4,73.6,83.2,putative protein contains similarity to peroxisomal membrane carrier protein;supported by full-length cDNA: Ceres:118596.
247093_at,25.3,30.8,34.8,34.2,34,42.9,28.1,37.4,28.9,41.2,23.8,29.6,zinc finger protein SHI-like  ; supported by cDNA: gi_4929802_gb_AF152555.1_AF152555
