"genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","tair_symbol","uniprotswissprot","entrezgene_id","description","external_gene_name","external_gene_source","batchcorr","refgroup","Affy_identifier","logFC_scheible2004","Padj_scheible2004","logFC_nguyen2017","Padj_nguyen2017"
"AT5G02160",4095.99333410846,0.447842589083885,0.124951294595302,3.58413724751213,0.000338194227403188,0.0422382577384562,"","",831910,"AT5g02160 [Source:UniProtKB/TrEMBL;Acc:Q9FPH2]","","","r","em2","251036_at",-2.45917795780437,6.47614426871477e-06,NA,NA
"AT5G08030",159.125379772616,-1.17168489658639,0.287285524783444,-4.07846826765675,4.53333883490325e-05,0.00986445183384566,"","",830697,"PLC-like phosphodiesterases superfamily protein [Source:TAIR;Acc:AT5G08030]","","","r","em2",NA,NA,NA,NA,NA
"AT5G09470",71.9071473572559,-1.14541990717839,0.282669904766023,-4.05214664831933,5.07498369356699e-05,0.0109303755938896,"DIC3","Q9FY68",830806,"DIC3 [Source:UniProtKB/TrEMBL;Acc:A0A178UKG1]","PUMP6","UniProtKB Gene Name","r","em2","245882_at",0.414802498435096,0.0155954313692279,3.168,4.5e-05
"AT5G09570",188.951840234445,-0.996650325491169,0.258840155078395,-3.85044710388662,0.000117902393052597,0.0202322423590339,"","",830816,"At5g09570 [Source:UniProtKB/TrEMBL;Acc:Q9LXC2]","","","r","em2","250515_at",1.07374987923699,1.6407675337347e-05,2.154,0.00019
"AT5G11740",4421.67021276008,-0.594574693811745,0.141496483014386,-4.2020457409623,2.64513667978861e-05,0.00634442044321569,"AGP15","Q9LYF6",831046,"ATAGP15 [Source:UniProtKB/TrEMBL;Acc:C0SVP3]","AGP15","UniProtKB Gene Name","r","em2","250358_at",0.321338278270616,0.00165949196072066,NA,NA
"AT5G16370",739.230205649118,0.787589838572169,0.186343578444172,4.22654671090868,2.37305028445352e-05,0.0058927026298777,"AAE5","Q9FFE6",831498,"Probable acyl-activating enzyme 5, peroxisomal [Source:UniProtKB/Swiss-Prot;Acc:Q9FFE6]","AAE5","UniProtKB Gene Name","r","em2",NA,NA,NA,NA,NA
"AT5G17300",221.474033306954,0.765920292429048,0.194927951915488,3.92924813964658,8.52118737869666e-05,0.0161215571883434,"RVE1","",831595,"Protein REVEILLE 1 [Source:UniProtKB/Swiss-Prot;Acc:F4KGY6]","RVE1","UniProtKB Gene Name","r","em2","250099_at",-1.38759924466704,4.03015859066807e-06,NA,NA
"AT5G19120",1646.0203929341,0.72030192700713,0.165685373412934,4.34740805521762,1.37755788184531e-05,0.00379627797011668,"","",832032,"AT5g19120/T24G5_20 [Source:UniProtKB/TrEMBL;Acc:Q93VG3]","","","r","em2","249923_at",-2.95495351543436,9.57820244683257e-07,NA,NA
"AT5G19950",1045.03133486101,0.71390499043587,0.159682338128826,4.47078242216066,7.79339535267997e-06,0.00249235145013661,"","",832117,"AT5G19950 protein [Source:UniProtKB/TrEMBL;Acc:Q8L502]","","","r","em2",NA,NA,NA,NA,NA
"AT5G20410",502.013276982005,-0.866240529943232,0.194424947429919,-4.4553980412183,8.37376854528917e-06,0.00259919312772674,"MGD2","O82730",832163,"Monogalactosyldiacylglycerol synthase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O82730]","MGD2","UniProtKB Gene Name","r","em2","246075_at",0.534993832052051,0.00580383112290433,NA,NA
"AT5G20790",1887.77565629939,-0.783873430064258,0.161020540887009,-4.86815797379737,1.12643271119937e-06,0.000485216637454797,"","",832202,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 11 plant structures; EXPRESSED DURING: LP.04 four leaves visible, 4 anthesis, petal differentiation an /.../nsion stage; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G43110.1); Ha. [Source:TAIR;Acc:AT5G20790]","","","r","em2","246001_at",0.588140020378646,0.000231205121521764,NA,NA
"AT5G21940",843.365933853848,1.81471661701844,0.146193197338788,12.413139941204,2.21781374348311e-35,4.68113946836979e-31,"","",832254,"At5g21940 [Source:UniProtKB/TrEMBL;Acc:Q9C593]","","","r","em2",NA,NA,NA,NA,NA
"AT5G22390",183.530236998412,0.721507491235077,0.183868160225114,3.92404802632342,8.70733652092269e-05,0.0161215571883434,"","",832300,"FANTASTIC four-like protein (DUF3049) [Source:UniProtKB/TrEMBL;Acc:Q9FMR2]","","","r","em2","249932_at",-0.468073949167946,0.00955317789628031,NA,NA
"AT5G22920",1334.92288793016,0.882597296715125,0.1735468034534,5.08564421327481,3.66380311682923e-07,0.000175754300879351,"","Q9FFB6",832356,"E3 ubiquitin-protein ligase RZFP34 [Source:UniProtKB/Swiss-Prot;Acc:Q9FFB6]","RZPF34","UniProtKB Gene Name","r","em2","249862_at",-3.75241174898541,9.72953079370769e-06,NA,NA
"AT5G24490",3683.67445949972,0.693858056793225,0.12284486459234,5.64824633976999,1.6209279875857e-08,1.14043090113238e-05,"","",832520,"30S ribosomal protein [Source:UniProtKB/TrEMBL;Acc:Q94K97]","","","r","em2","249742_at",-2.71507873820738,8.51652369528847e-09,NA,NA
"AT5G24500",857.214487062641,0.750914273415341,0.140956895756676,5.32726170922201,9.97044545568409e-08,5.84572756203123e-05,"","",832521,"Fantom protein [Source:UniProtKB/TrEMBL;Acc:Q84J91]","","","r","em2","249740_at",0.519142794100458,0.000429796568784885,NA,NA
"AT5G24890",293.975208075938,0.662058681085888,0.183261647957927,3.6126417527244,0.000303093318023787,0.0396852826375561,"","",832558,"At5g24890 [Source:UniProtKB/TrEMBL;Acc:Q8L9W8]","","","r","em2",NA,NA,NA,NA,NA
"AT5G26220",407.782361449836,-1.24743607588843,0.182312569510571,-6.84229331656752,7.79353041536254e-12,1.17498604626469e-08,"","",832691,"Gamma-glutamylcyclotransferase 2-1 [Source:UniProtKB/Swiss-Prot;Acc:Q8GY54]","GGCT2;1","UniProtKB Gene Name","r","em2",NA,NA,NA,1.796,0.00022
"AT5G27660",496.709679778201,-1.07582396445101,0.188284491072628,-5.71382145349414,1.10466902410616e-08,8.32723181850314e-06,"","Q3E6S8",832828,"DEG14 [Source:UniProtKB/TrEMBL;Acc:A0A178UPC0]","","","r","em2",NA,NA,NA,NA,NA
"AT5G28770",908.280175829987,0.753422400019177,0.14708233286899,5.12245342675025,3.01585600698487e-07,0.000148036448231232,"BZO2H3","B9DGI8",832990,"Basic leucine zipper 63 [Source:UniProtKB/Swiss-Prot;Acc:B9DGI8]","BZIP63","UniProtKB Gene Name","r","em2","245925_at",-2.36755243224165,5.67984295105985e-08,NA,NA
"AT5G39520",183.481128563404,0.871320276280328,0.199822049039405,4.36048114043964,1.29776767683258e-05,0.00365226431398737,"","",833948,"Uncharacterized protein At5g39520 [Source:UniProtKB/TrEMBL;Acc:Q0WW43]","","","r","em2","249454_at",5.7413992500471,9.89931679623061e-11,NA,NA
"AT5G42800",194.065786015761,-1.12784620916828,0.256550387657758,-4.39619764158317,1.10163633823305e-05,0.0031852381083678,"DFR","P51102",834291,"Dihydroflavonol reductase [Source:UniProtKB/TrEMBL;Acc:B1GV15]","DFRA","UniProtKB Gene Name","r","em2","249215_at",2.16825573349402,3.15498421994893e-07,1.743,3e-04
"AT5G43700",411.931654947379,0.752017894344639,0.156900125588061,4.79297190825104,1.64328642210653e-06,0.000672667436146117,"ATAUX2-11","P33077",834390,"IAA4 [Source:UniProtKB/TrEMBL;Acc:A0A384LA06]","IAA4","UniProtKB Gene Name","r","em2","249109_at",-0.383360792230731,0.00824056178571092,NA,NA
"AT5G43950",455.923313093536,0.693958441759294,0.193722242981183,3.5822341878764,0.000340668183912498,0.042296960928477,"","",834418,"Vacuolar protein sorting-associated protein (DUF946) [Source:UniProtKB/TrEMBL;Acc:Q9FND1]","","","r","em2",NA,NA,NA,NA,NA
"AT5G44260",80.86291342053,1.06894700593177,0.265203464598096,4.03066757650287,5.56186587460536e-05,0.0116231983183461,"","Q9FKW2",834449,"Zinc finger CCCH domain-containing protein 61 [Source:UniProtKB/Swiss-Prot;Acc:Q9FKW2]","TZF5","UniProtKB Gene Name","r","em2",NA,NA,NA,NA,NA
"AT5G45350",1945.0807298198,-0.466262315305324,0.131524626162346,-3.54505714184504,0.000392527981048382,0.0481691168371407,"","",834571,"AT5g45350/MFC19_1 [Source:UniProtKB/TrEMBL;Acc:Q39115]","","","r","em2","248967_at",1.06961818485304,7.69961912076013e-08,NA,NA
"AT5G49448",133.038334131174,0.857289959924217,0.2239745055847,3.82762295952482,0.000129386752387582,0.0211258496270209,NA,NA,NA,NA,NA,NA,"r","em2",NA,NA,NA,NA,NA
"AT5G49450",133.038334131174,0.857289959924217,0.2239745055847,3.82762295952482,0.000129386752387582,0.0211258496270209,"AtbZIP1","Q9FGX2",835005,"Basic leucine zipper 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FGX2]","BZIP1","UniProtKB Gene Name","r","em2","248606_at",-1.36720290145994,7.68032193498313e-06,NA,NA
"AT5G52310",742.963468651785,0.648294068301809,0.181741142036596,3.56712883520489,0.0003609140597233,0.0445486143776591,"COR78","Q06738",835307,"Low-temperature-induced 78 kDa protein [Source:UniProtKB/Swiss-Prot;Acc:Q06738]","RD29A","UniProtKB Gene Name","r","em2",NA,NA,NA,NA,NA
"AT5G54280",12211.6721416267,0.802016601844982,0.155324709711742,5.16348366807445,2.42395739519106e-07,0.000127906171850744,"ATM2","F4K0A6",835516,"Myosin-2 [Source:UniProtKB/Swiss-Prot;Acc:F4K0A6]","VIII-2","UniProtKB Gene Name","r","em2","248204_at",-0.383266419746078,0.0120328349154179,NA,NA
"AT5G56100",228.031534648743,0.786453129699841,0.187620662914351,4.19171917145852,2.76848557568399e-05,0.00656566573550135,"","",835709,"Glycine-rich protein / oleosin [Source:UniProtKB/TrEMBL;Acc:Q9FKT7]","","","r","em2","248050_at",-1.7922514382721,3.06478224837692e-07,NA,NA
"AT5G56550",160.999306323223,2.49806793958593,0.242729169178367,10.291585259579,7.68997501262034e-25,8.11561512956888e-21,"OXS3","",835756,"Emb [Source:UniProtKB/TrEMBL;Acc:Q9LVB9]","OXS3","TAIR Gene Name","r","em2",NA,NA,NA,NA,NA
"AT5G57630",454.222752361041,0.565356189143659,0.153525700064135,3.68248566140707,0.000230970862689017,0.0320730394656387,"CIPK21","",835868,"CBL-interacting serine/threonine-protein kinase 21 [Source:UniProtKB/Swiss-Prot;Acc:Q94CG0]","CIPK21","UniProtKB Gene Name","r","em2","247867_at",-0.951472105272739,6.2034467561018e-05,NA,NA
"AT5G59080",304.730425814733,0.605630313216993,0.158398094052727,3.82346970043334,0.000131586768565539,0.0211258496270209,"","",836025,"Emb [Source:UniProtKB/TrEMBL;Acc:Q9FGU5]","","","r","em2",NA,NA,NA,NA,NA
"AT5G59310",16.36215326444,-3.3706575050382,0.931552778834427,-3.61832156118477,0.00029651983483803,0.0396116718602931,"LTP4","Q9LLR6",836050,"Non-specific lipid-transfer protein 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9LLR6]","LTP4","UniProtKB Gene Name","r","em2",NA,NA,NA,NA,NA
"AT5G60400",308.940211372948,0.678393532202553,0.172091830131547,3.94204380117283,8.07902175586231e-05,0.0156443956147693,"","",836162,"unknown protein; Ha. [Source:TAIR;Acc:AT5G60400]","","","r","em2","247628_at",-0.283758543827735,0.0257390650076317,NA,NA
"AT5G60680",728.927250235267,0.597456097394475,0.138252674378843,4.32147949454716,1.54986457329115e-05,0.00414088500613372,"","",836189,"Emb [Source:UniProtKB/TrEMBL;Acc:Q9FF51]","","","r","em2","247585_at",-1.23504695620116,1.44704244776757e-06,NA,NA
"AT5G61440",200.788369411583,0.832796894521612,0.185340331047275,4.49333876666698,7.01151116639557e-06,0.00227679947983248,"ACHT5","Q9XFI1",836265,"Thioredoxin-like 1-2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9XFI1]","ACHT5","TAIR Gene Name","r","em2","247524_at",-1.36836048290396,2.4745743140959e-07,NA,NA
"AT5G62210",524.724598037271,-0.557521267906363,0.139002981862518,-4.01085833149812,6.04984052265443e-05,0.0123899327605598,"","",836342,"Embryo-specific protein 3, (ATS3) [Source:UniProtKB/TrEMBL;Acc:Q9LVB5]","","","r","em2","247463_at",-0.504233297057386,0.000105548627473192,NA,NA
"AT5G62280",299.023858883563,0.605179384075284,0.168285480790352,3.59614733982434,0.000322964917449862,0.0409772991079861,"","",836349,"At5g62280 [Source:UniProtKB/TrEMBL;Acc:Q9LVA8]","","","r","em2","247474_at",-0.417506375520359,0.0100046812043858,NA,NA
"AT5G63160",312.729836440854,1.39743382755068,0.184013661219141,7.59418522675055,3.09735084367048e-14,9.33939775105039e-11,"BT1","Q9FMK7",836437,"BTB/POZ and TAZ domain-containing protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FMK7]","BT1","UniProtKB Gene Name","r","em2",NA,NA,NA,NA,NA
"AT5G63190",723.053327894377,0.562251471667808,0.13755038519553,4.08760375965912,4.35851756988804e-05,0.00958283649454446,"","",836440,"MA3 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q94BR1]","","","r","em2","247374_at",0.520040427471052,0.000200107143066606,NA,NA
"AT5G63195",621.998322804821,0.532730805305954,0.1420475616705,3.75036923577542,0.000176574368710789,0.026621108574133,NA,NA,NA,NA,NA,NA,"r","em2",NA,NA,NA,NA,NA
"AT5G63300",414.328143619518,0.826229724119264,0.194422598530153,4.24965888927322,2.14096298358207e-05,0.0055108909383496,"","",836450,"At5g63300 [Source:UniProtKB/TrEMBL;Acc:Q9FMJ3]","","","r","em2",NA,NA,NA,NA,NA
"AT5G65207",114.10135977004,1.0335376559062,0.243368861180803,4.24679497159813,2.16850229296206e-05,0.00551452745753616,"","",836645,"Uncharacterized protein At5g65207 [Source:UniProtKB/TrEMBL;Acc:Q8RXW8]","","","r","em2",NA,NA,NA,1.039,0.0024
"AT5G66180",1417.34006224877,0.527581615726039,0.138749188397783,3.80241226502533,0.000143294018423818,0.0224037544212706,"","",836750,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4JZ42]","","","r","em2","247130_at",0.270050325181387,0.0289601151447921,NA,NA
"ATCG00020",629.671643976057,0.594819657450259,0.159854909569809,3.72099711576579,0.000198437705054677,0.0292896828013221,"PSBA","P83755",844802,"Photosystem II protein D1 [Source:UniProtKB/Swiss-Prot;Acc:P83755]","PSBA","UniProtKB Gene Name","r","em2",NA,NA,NA,NA,NA
"ATMG00030",1891.82814959696,0.495003079432735,0.127927827879681,3.86939329493109,0.000109106519180434,0.0191909275028452,"ORF107A","P93276",NA,"Uncharacterized mitochondrial protein AtMg00030 [Source:UniProtKB/Swiss-Prot;Acc:P93276]","ORF107A","TAIR Gene Name","r","em2",NA,NA,NA,NA,NA
"AT1G01170",985.487897668453,0.473595923406419,0.104073862175025,4.55057507724616,5.34994932328339e-06,0.00221351530726672,"","",839263,"At1g01170 [Source:UniProtKB/TrEMBL;Acc:Q2HIQ2]","","","p","em2","261572_at",-1.22970927195196,2.35643128279894e-07,NA,NA
"AT1G02610",51.9717053151277,1.19339605845544,0.334384302541106,3.56893565094534,0.000358434441726533,0.0393923185149561,"","",837915,"RING/FYVE/PHD zinc finger superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4HXK4]","","","p","em2",NA,NA,NA,NA,NA
"AT1G03020",19.3276693635725,-1.59857704473905,0.419165553374599,-3.81371282031478,0.000136894533763028,0.0211908152092844,"","Q9SA68",839505,"Monothiol glutaredoxin-S1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SA68]","GRXS1","UniProtKB Gene Name","p","em2","263168_at",-0.24354345203661,0.0396487419030675,NA,NA
"AT1G07260",151.920005277818,-0.680961581011202,0.188558133795002,-3.61141451342287,0.000304531468996485,0.0353072446554661,"UGT71C3","Q9LML7",837237,"UDP-glycosyltransferase 71C3 [Source:UniProtKB/Swiss-Prot;Acc:Q9LML7]","UGT71C3","UniProtKB Gene Name","p","em2",NA,NA,NA,0.762,0.00045
"AT1G08650",1097.67302998763,-1.0643670358785,0.207831897698535,-5.12128815482594,3.03455519307662e-07,0.000376659700759469,"PPCK1","",837387,"Phosphoenolpyruvate carboxylase kinase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SPK4]","PPCK1","UniProtKB Gene Name","p","em2","264783_at",-0.5904239494279,0.000292978856427085,NA,NA
"AT1G11260",1097.08443581597,0.694790303659357,0.142170935087253,4.88700663910629,1.02380642749896e-06,0.000744942738850192,"STP1","P23586",837667,"STP1 [Source:UniProtKB/TrEMBL;Acc:A0A178WJ63]","STP1","UniProtKB Gene Name","p","em2",NA,NA,NA,NA,NA
"AT1G11530",208.047876838347,0.798538756672258,0.21353970888344,3.73953285245011,0.000184362553304468,0.025849485230928,"ATCXXS1","Q8LDI5",837696,"Thioredoxin-like protein CXXS1 [Source:UniProtKB/Swiss-Prot;Acc:Q8LDI5]","CXXS1","UniProtKB Gene Name","p","em2",NA,NA,NA,NA,NA
"AT1G13245",747.823340746195,0.866151181542705,0.188813992517209,4.58732517646308,4.48961106952462e-06,0.00194673823798673,"RTFL17","",837884,"At1g13245 [Source:UniProtKB/TrEMBL;Acc:Q9SAF8]","RTFL17","TAIR Gene Name","p","em2",NA,NA,NA,NA,NA
"AT1G13440",28336.540946765,-0.476701179177153,0.108978143335773,-4.37428244403457,1.21832555392391e-05,0.00378057169313947,"GAPC-2","Q9FX54",837904,"Glyceraldehyde-3-phosphate dehydrogenase GAPC2, cytosolic [Source:UniProtKB/Swiss-Prot;Acc:Q9FX54]","GAPC2","UniProtKB Gene Name","p","em2",NA,NA,NA,NA,NA
"AT1G14250",167.634553195699,1.41168753958387,0.401786728506989,3.51352456271914,0.000442203526849984,0.0455167640003,"","Q6NQA8",837986,"Probable apyrase 5 [Source:UniProtKB/Swiss-Prot;Acc:Q6NQA8]","APY5","UniProtKB Gene Name","p","em2","262661_s_at",0.710754585279078,0.000367621813895947,NA,NA
"AT1G14315",14.8857502571758,1.668052730191,0.439403941516187,3.796171523713,0.000146947845943799,0.0223075287572669,"","",6241224,"F-box and associated interaction domains-containing protein [Source:UniProtKB/TrEMBL;Acc:F4HUI9]","","","p","em2",NA,NA,NA,NA,NA
"AT1G16400",966.910966342003,-0.599535343166596,0.161572420433141,-3.71062921233321,0.000206744736998427,0.0276108904772393,"CYP79F2","Q9FUY7",838210,"Hexahomomethionine N-hydroxylase [Source:UniProtKB/Swiss-Prot;Acc:Q9FUY7]","CYP79F2","UniProtKB Gene Name","p","em2",NA,NA,NA,NA,NA
"AT1G17620",545.677558360675,-0.413275813085978,0.106272869824259,-3.88881766126579,0.000100733760906931,0.0177131924074763,"","",838339,"At1g17620/F11A6_23 [Source:UniProtKB/TrEMBL;Acc:Q9LNP3]","","","p","em2","260686_at",0.814098233448874,2.43701679013833e-06,NA,NA
"AT1G19200",115.165665727997,-1.40420886955446,0.360954408054179,-3.89026657722294,0.000100134158276279,0.0177131924074763,"","",838503,"Protein of unknown function (DUF581) [Source:TAIR;Acc:AT1G19200]","FLZ12","UniProtKB Gene Name","p","em2",NA,NA,NA,NA,NA
"AT1G19530",469.36913067995,1.21607739395884,0.315213937381846,3.85794297060443,0.000114345318563644,0.0187509432009678,"","",838540,"DNA polymerase epsilon catalytic subunit A [Source:UniProtKB/TrEMBL;Acc:Q93WK6]","","","p","em2",NA,NA,NA,2.884,0.00048
"AT1G22220",109.967404203952,-0.99626496439352,0.2313883960413,-4.30559605165203,1.66536709468419e-05,0.00456375468375729,"","Q9LM18",838827,"AUF2 [Source:UniProtKB/TrEMBL;Acc:A0A178W7K5]","","","p","em2",NA,NA,NA,NA,NA
"AT1G22410",2812.99840383284,-0.534389672781896,0.112697998272254,-4.74178495602847,2.11843422633966e-06,0.00127717373171409,"","",838847,"Phospho-2-dehydro-3-deoxyheptonate aldolase [Source:UniProtKB/TrEMBL;Acc:Q9SK84]","","","p","em2","261933_at",0.449599707727662,0.000235965965980197,NA,NA
"AT1G22430",1080.39133865983,0.443555505686629,0.121673987219901,3.64544234820705,0.000266932253933359,0.0329388157324433,"","Q9SK86",838849,"Alcohol dehydrogenase-like 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SK86]","","","p","em2","261931_at",-1.03300479249742,9.21275280327823e-07,NA,NA
"AT1G22630",636.9158835767,0.599163046157429,0.159753538301573,3.75054632609366,0.000176449700357827,0.0251571968057466,"","",838869,"At1g22630/F12K8_2 [Source:UniProtKB/TrEMBL;Acc:Q9SKA5]","","","p","em2","264201_at",-1.14689334273414,4.77428149354461e-06,NA,NA
"AT1G23390",2153.84926894074,0.961862071299125,0.235823745342598,4.07873291089394,4.52818227258679e-05,0.0098825504952096,"","Q9LDE3",838947,"F-box/Kelch repeat-containing F-box family protein [Source:UniProtKB/TrEMBL;Acc:C4PVQ8]","","","p","em2","262986_at",-1.24351634276115,4.89881217273238e-05,NA,NA
"AT1G24267",1144.88858936667,-0.464846496089477,0.115185536677667,-4.0356325064517,5.4455395537869e-05,0.0111559543810153,"","",839042,"Protein of unknown function (DUF1664) [Source:TAIR;Acc:AT1G24267]","","","p","em2",NA,NA,NA,NA,NA
"AT1G25230",537.691723610951,0.456555227694994,0.125769622130518,3.63009143194533,0.000283320841766746,0.0335862532703377,"","Q8VYU7",839105,"Calcineurin-like metallo-phosphoesterase superfamily protein [Source:TAIR;Acc:AT1G25230]","","","p","em2","245637_at",-1.42177504073536,1.06566551461076e-06,NA,NA
"AT1G26800",113.570763188383,0.962200963808569,0.231445597004587,4.15735264036801,3.21956816517207e-05,0.00772001225605634,"","Q9LQX2",839223,"E3 ubiquitin-protein ligase MPSR1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LQX2]","MPSR1","UniProtKB Gene Name","p","em2",NA,NA,NA,NA,NA
"AT1G28330",538.895316833911,1.14595227218491,0.238169458159048,4.81149968196027,1.49801973088031e-06,0.000957870131554708,"DYL1","",839729,"Dormancy-associated protein 1 [Source:UniProtKB/Swiss-Prot;Acc:B9DGG8]","DRM1","UniProtKB Gene Name","p","em2",NA,NA,NA,NA,NA
"AT1G32450",2238.67362661708,0.857926539643281,0.167965117694578,5.10776613274732,3.25989772950656e-07,0.000382041331874446,"NRT1.5","Q9LQL2",840139,"Protein NRT1/ PTR FAMILY 7.3 [Source:UniProtKB/Swiss-Prot;Acc:Q9LQL2]","NPF7.3","UniProtKB Gene Name","p","em2","260693_at",1.12359497977204,7.87291369842319e-07,NA,NA
"AT1G49032",72.602721676636,0.861551094127426,0.243711099974616,3.53513276259129,0.000407570328672211,0.0423652290902085,"","",6240812,"Putative uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:Q8GX22]","","","p","em2",NA,NA,NA,NA,NA
"AT1G49200",60.7338028386017,1.10551981282372,0.288139446452393,3.83675274744576,0.000124671879059945,0.0198731661127983,"","Q94BY6",841343,"RING-H2 finger protein ATL75 [Source:UniProtKB/Swiss-Prot;Acc:Q94BY6]","ATL75","UniProtKB Gene Name","p","em2","260770_at",-1.78224713497334,1.09810550340298e-07,NA,NA
"AT1G49320",116.278459633149,0.790640395430071,0.188604929619809,4.1920452292729,2.76450862475981e-05,0.00711388981598253,"ATUSPL1","Q9XI99",841355,"BURP domain protein USPL1 [Source:UniProtKB/Swiss-Prot;Acc:Q9XI99]","USPL1","UniProtKB Gene Name","p","em2","262388_at",-0.791838251114292,0.000149450325888881,NA,NA
"AT1G49860",108.933787182683,1.48042595581928,0.372488487402489,3.9744207026179,7.05507622438422e-05,0.0131958586943001,"ATGSTF14","Q9C6C8",841409,"Glutathione S-transferase F14 [Source:UniProtKB/Swiss-Prot;Acc:Q9C6C8]","GSTF14","UniProtKB Gene Name","p","em2","259813_at",-0.628852766017072,0.00212847673116358,NA,NA
"AT1G53310",2286.07260492972,-0.622282942702978,0.143122200677583,-4.34791345966529,1.37438810563845e-05,0.00402791158570513,"ATPPC1","Q9MAH0",841765,"Phosphoenolpyruvate carboxylase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9MAH0]","PPC1","UniProtKB Gene Name","p","em2","260590_at",0.518057140519775,0.000240094541041548,NA,NA
"AT1G54080",2129.54369191092,-0.381128436116134,0.0931979625269619,-4.08945030322819,4.32396695827802e-05,0.00960421334596046,"UBP1A","Q9SYG4",841846,"Oligouridylate-binding protein 1A [Source:UniProtKB/TrEMBL;Acc:F4HV67]","UBP1A","TAIR Gene Name","p","em2",NA,NA,NA,NA,NA
"AT1G54680",196.204852655468,0.615342312390871,0.173371000954996,3.54928049674584,0.000386285366889163,0.040694299535407,"","",841909,"T22H22.11 protein [Source:UniProtKB/TrEMBL;Acc:Q9ZVM3]","","","p","em2",NA,NA,NA,NA,NA
"AT1G55210",899.789338977479,-0.56961959450076,0.155462979145157,-3.66402083398198,0.000248286576185722,0.0317520911763328,"","Q9C891",841964,"Dirigent protein 20 [Source:UniProtKB/Swiss-Prot;Acc:Q9C891]","DIR20","UniProtKB Gene Name","p","em2","259655_at",0.76217207591996,1.64411520784611e-06,NA,NA
"AT1G58080",3405.826960091,-0.39268444598835,0.109753236043739,-3.57788490019426,0.000346385915500033,0.0384919758385999,"ATATP-PRT1","Q9S762",842175,"HISN1A [Source:UniProtKB/TrEMBL;Acc:A0A178WM39]","HISN1A","UniProtKB Gene Name","p","em2","245867_at",-0.837901011443491,3.25452338265e-06,NA,NA
"AT1G61800",497.717167069241,-2.29524428807301,0.499668027459111,-4.59353843339683,4.35792713209009e-06,0.00194673823798673,"GPT2","Q94B38",842477,"glucose-6-phosphate/phosphate translocator 2 [Source:TAIR;Acc:AT1G61800]","GPT2","TAIR Gene Name","p","em2","264400_at",5.48732813978091,1.37877601696773e-06,2.331,0.00034
"AT1G62180",3784.50238795645,-0.570026751193525,0.145115076294739,-3.92810151603932,8.56190714291097e-05,0.0155745519502211,"APR2","",842514,"5'-adenylylsulfate reductase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P92981]","APR2","UniProtKB Gene Name","p","em2","264745_at",-0.874580311237748,7.22528987069536e-06,NA,NA
"AT1G65840",1767.91584865434,-0.560859344559945,0.0906823416294964,-6.18487937653248,6.21499743639306e-10,2.6228532181066e-06,"ATPAO4","Q8H191",842894,"Probable polyamine oxidase 4 [Source:UniProtKB/Swiss-Prot;Acc:Q8H191]","PAO4","UniProtKB Gene Name","p","em2","262933_at",0.369510645934068,0.00783207312535415,NA,NA
"AT1G66230",73.0002603490956,1.11594103258904,0.288581708430868,3.86698463550184,0.000110189367286944,0.0184532209454111,"MYB20","Q9C7U7",842938,"Transcription factor MYB20 [Source:UniProtKB/Swiss-Prot;Acc:Q9C7U7]","MYB20","TAIR Gene Name","p","em2","259822_at",-1.12309913628574,3.7778352477641e-06,NA,NA
"AT1G67080",492.690500868649,0.502492951525047,0.134862913990894,3.72595353796802,0.000194578246166013,0.0264890036925744,"ABA4","",843028,"Protein ABA DEFICIENT 4, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8LFP9]","ABA4","UniProtKB Gene Name","p","em2","255857_at",-0.53674479974803,0.000205161992130757,NA,NA
"AT1G67195",226.685035122047,0.864654909841386,0.196394036184464,4.40265359702295,1.06934832264668e-05,0.00347143368556426,NA,NA,NA,NA,NA,NA,"p","em2",NA,NA,NA,NA,NA
"AT1G69490",78.0629926746516,2.00713674227414,0.457406935248082,4.38807675967032,1.14357417882555e-05,0.00360157593244745,"NAP","O49255",843282,"NAP [Source:UniProtKB/TrEMBL;Acc:A0A178W8K0]","NAC029","UniProtKB Gene Name","p","em2","256300_at",3.02078550357009,1.52808302696869e-09,NA,NA
