"genes","log2FoldChange","padj","tair_symbol","description","external_gene_name","batchcorr","refgroup","logFC_scheible2004","Padj_scheible2004","logFC_nguyen2017","Padj_nguyen2017","lfcliu2020","qvalliu2020"
"AT1G71030",0.945811473263608,0.0380458739451933,"ATMYBL2","At1g71030/F23N20_2 [Source:UniProtKB/TrEMBL;Acc:Q9C9A5]","ATMYBL2","r+p","em2",-0.835296133871686,5.27712310367743e-05,NA,NA,-0.804227058,1.72e-13
"AT1G71030",0.859520982746561,0.0222612902460663,"ATMYBL2","At1g71030/F23N20_2 [Source:UniProtKB/TrEMBL;Acc:Q9C9A5]","ATMYBL2","p","em2",-0.835296133871686,5.27712310367743e-05,NA,NA,-0.804227058,1.72e-13
"AT1G71100",-0.657406899349081,0.0138214452382494,"RSW10","Probable ribose-5-phosphate isomerase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C998]","RPI1","p","nm2",0.506641640893503,0.00617030994697804,NA,NA,-0.524176328,0.005594919
"AT1G72910",1.67659523333728,0.00129704159627803,"","Similar to part of disease resistance protein [Source:UniProtKB/TrEMBL;Acc:Q9SSN5]","","p","em24",1.67411731844168,3.15972792554355e-09,NA,NA,-0.752292926,0.02408186
"AT1G72920",1.44755926389855,0.00140501325053725,"","Similar to part of disease resistance protein [Source:UniProtKB/TrEMBL;Acc:Q9SSN4]","","p","em24",1.78574767639574,4.06879704333407e-08,NA,NA,-1.769746943,1.33e-09
"AT1G72920",1.37792995370606,0.0184858569766371,"","Similar to part of disease resistance protein [Source:UniProtKB/TrEMBL;Acc:Q9SSN4]","","p","en6",1.78574767639574,4.06879704333407e-08,NA,NA,-1.769746943,1.33e-09
"AT1G72940",1.23105143421518,0.000255356823095768,"","At1g72940/F3N23_14 [Source:UniProtKB/TrEMBL;Acc:Q9SSN2]","","p","em24",1.27489691152811,1.60217935967652e-06,1.098,0.0026,-1.411725715,1.76e-05
"AT1G73310",-0.60290898159215,0.0176583305854425,"scpl4","Serine carboxypeptidase-like 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9CAU4]","SCPL4","p","em24",NA,NA,NA,NA,0.437746385,0.042581905
"AT1G73540",1.21534136657739,0.00204453321415338,"atnudt21","Nudix hydrolase 21, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8VY81]","NUDT21","p","em24",NA,NA,NA,NA,-1.263950512,1.71e-07
"AT1G73540",1.13887144029049,0.000619401350369378,"atnudt21","Nudix hydrolase 21, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8VY81]","NUDT21","p","en6",NA,NA,NA,NA,-1.263950512,1.71e-07
"AT1G73630",-1.72893921849735,0.0069754702829161,"","Probable calcium-binding protein CML26 [Source:UniProtKB/Swiss-Prot;Acc:Q9C9U8]","CML26","p","en6",0.808099956320148,7.54931153083186e-06,NA,NA,-1.009426277,0.009155434
"AT1G73830",0.708235224666435,0.0375376410191604,"BEE3","Transcription factor BEE 3 [Source:UniProtKB/Swiss-Prot;Acc:Q8GWK7]","BEE3","r","em2",-1.14595206229514,2.77000360695994e-06,NA,NA,0.935526557,4.3e-07
"AT1G73830",0.827136159082099,0.0187631949865412,"BEE3","Transcription factor BEE 3 [Source:UniProtKB/Swiss-Prot;Acc:Q8GWK7]","BEE3","p","em2",-1.14595206229514,2.77000360695994e-06,NA,NA,0.935526557,4.3e-07
"AT1G74100",0.716860133515839,0.0366887199423179,"SOT16","Sulfotransferase [Source:UniProtKB/TrEMBL;Acc:M1EU36]","SOT16","p","em24",NA,NA,NA,NA,-1.109289624,3.07e-17
"AT1G74100",0.448985656071733,0.0209495961792192,"SOT16","Sulfotransferase [Source:UniProtKB/TrEMBL;Acc:M1EU36]","SOT16","p","en2",NA,NA,NA,NA,-1.109289624,3.07e-17
"AT1G74180",0.723824874440541,0.0176383410698221,"AtRLP14","Receptor-like protein 14 [Source:UniProtKB/Swiss-Prot;Acc:F4HTV4]","AtRLP14","p","nm2",NA,NA,NA,NA,-0.420410543,0.017673303
"AT1G74260",0.604843789387578,0.0188804185047487,"PUR4","Probable phosphoribosylformylglycinamidine synthase, chloroplastic/mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9M8D3]","PUR4","p","em24",-0.421472527988301,0.0396078735227188,NA,NA,0.366651446,0.013803236
"AT1G74470",0.402302978151088,0.0396852826375561,"","Geranylgeranyl diphosphate reductase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9CA67]","CHLP","r","em2",-0.933119492049825,5.05774016098966e-07,NA,NA,0.468915934,4.15e-05
"AT1G75410",0.424808026696453,0.0356774337176783,"BLH3","BEL1-like homeodomain protein 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9FWS9]","BLH3","p","nm2",0.885861437698465,1.32157652779159e-05,NA,NA,-0.385441174,0.00344402
"AT1G76500",-0.760590664028385,0.0196712262542987,"SOB3","AT-hook motif nuclear-localized protein 29 [Source:UniProtKB/Swiss-Prot;Acc:Q9C9K7]","AHL29","p","nm2",NA,NA,NA,NA,-1.450484885,7.48e-05
"AT1G76590",0.830206668427758,0.041074500792588,"","At1g76590 [Source:UniProtKB/TrEMBL;Acc:Q2HIW3]","","p","en6",NA,NA,1.334,0.00065,-0.507222774,0.001226254
"AT1G76650",0.89023787354026,0.0270400538443875,"CML38","CML38 [Source:UniProtKB/TrEMBL;Acc:A0A178WMC5]","CML38","p","em24",0.901295763879211,0.000160035550548848,1.386,0.0019,-1.070909583,0.039015987
"AT1G77750",-0.378214899204147,0.0438081649466214,"","Small ribosomal subunit protein S13, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9CA19]","RPS13","p","nm2",-0.489748589638871,0.000633714143494277,NA,NA,0.430359951,0.021384408
"AT1G77760",0.681327148940635,0.0161215571883434,"NIA1","Nitrate reductase [Source:UniProtKB/TrEMBL;Acc:A0A178WBR8]","NIA1","r","em2",0.237182637279924,0.0389593345820768,NA,NA,-1.535875764,0.000233198
"AT1G78970",0.528256934562191,0.0312421769787953,"LUP1","Lupeol synthase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C5M3]","LUP1","p","nm2",-1.0219656641853,7.42946006916256e-06,NA,NA,3.052514557,1.25e-48
"AT1G80300",-0.291771633842871,0.0356585367252234,"NTT1","ADP,ATP carrier protein 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q39002]","AATP1","p","nm2",NA,NA,0.853,0.00033,-0.805902902,1.25e-10
"AT1G80840",2.27655306793291,0.000352463351874235,"WRKY40","Probable WRKY transcription factor 40 [Source:UniProtKB/Swiss-Prot;Acc:Q9SAH7]","WRKY40","r","em24",1.48315536310809,0.00010911391918494,NA,NA,-2.506413205,2.29e-21
"AT1G80840",1.88560761420032,0.00105141609741758,"WRKY40","Probable WRKY transcription factor 40 [Source:UniProtKB/Swiss-Prot;Acc:Q9SAH7]","WRKY40","p","en6",1.48315536310809,0.00010911391918494,NA,NA,-2.506413205,2.29e-21
"AT1G80840",1.35365449509899,0.00078949503221633,"WRKY40","Probable WRKY transcription factor 40 [Source:UniProtKB/Swiss-Prot;Acc:Q9SAH7]","WRKY40","p","em24",1.48315536310809,0.00010911391918494,NA,NA,-2.506413205,2.29e-21
"AT1G80920",0.982576924178287,0.0052983789646428,"J8","Chaperone protein dnaJ 8, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SAG8]","ATJ8","r+p","em2",-0.876617919458693,3.37069812788628e-06,NA,NA,-0.405033476,0.000248021
"AT1G80920",1.08926851310438,1.12321784681512e-10,"J8","Chaperone protein dnaJ 8, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SAG8]","ATJ8","r","em2",-0.876617919458693,3.37069812788628e-06,NA,NA,-0.405033476,0.000248021
"AT1G80920",1.05969177181782,0.00189252688453129,"J8","Chaperone protein dnaJ 8, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SAG8]","ATJ8","p","em2",-0.876617919458693,3.37069812788628e-06,NA,NA,-0.405033476,0.000248021
"AT2G02710",0.734831804652779,0.0187509432009678,"PLP","Protein TWIN LOV 1 [Source:UniProtKB/Swiss-Prot;Acc:O64511]","TLP1","p","em2",-1.13889816299936,4.85694516305347e-06,NA,NA,-0.732192127,9.37e-26
"AT2G02710",0.67429129893269,0.00194014375531666,"PLP","Protein TWIN LOV 1 [Source:UniProtKB/Swiss-Prot;Acc:O64511]","TLP1","r","em2",-1.13889816299936,4.85694516305347e-06,NA,NA,-0.732192127,9.37e-26
"AT2G02710",0.518119306814478,0.0356774337176783,"PLP","Protein TWIN LOV 1 [Source:UniProtKB/Swiss-Prot;Acc:O64511]","TLP1","p","nm2",-1.13889816299936,4.85694516305347e-06,NA,NA,-0.732192127,9.37e-26
"AT2G03760",0.554680791448217,0.0494874001193147,"ST","Cytosolic sulfotransferase 12 [Source:UniProtKB/Swiss-Prot;Acc:P52839]","SOT12","p","em24",1.26564238660147,2.22233624764609e-07,4.298,8.3e-05,-1.808757395,2.11e-11
"AT2G04240",0.608986219949292,0.0138013959225894,"XERICO","Probable E3 ubiquitin-protein ligase XERICO [Source:UniProtKB/Swiss-Prot;Acc:Q9SI09]","XERICO","p","en2",0.517819363981877,0.000659818705158712,NA,NA,0.594478863,3.98e-05
"AT2G04530",0.596354856018699,0.0406655539429543,"CPZ","tRNase Z TRZ2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8L633]","TRZ2","p","nm2",-1.28098102289851,1.63516558795345e-06,NA,NA,0.692005426,0.000281775
"AT2G05210",-0.540658500358704,0.0334877882598437,"AtPOT1a","Protection of telomeres protein 1a [Source:UniProtKB/Swiss-Prot;Acc:Q56Y52]","POT1A","p","em24",-0.474586394783802,0.00407184332297971,NA,NA,0.499978362,0.001649884
"AT2G05540",1.06428343891855,9.89274240303208e-09,"","At2g05540/T20G20.11 [Source:UniProtKB/TrEMBL;Acc:Q9SL13]","","r","em2",-1.4544008694074,9.48201366106892e-06,NA,NA,-1.246529702,4.5e-08
"AT2G05540",1.16102199882594,0.015842945893719,"","At2g05540/T20G20.11 [Source:UniProtKB/TrEMBL;Acc:Q9SL13]","","r+p","em2",-1.4544008694074,9.48201366106892e-06,NA,NA,-1.246529702,4.5e-08
"AT2G05920",-0.622388955783416,0.0230365104044761,"","Subtilisin-like protease SBT1.8 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZUF6]","SBT1.8","p","en6",-0.280972290692972,0.0261057234674291,NA,NA,0.89826769,7.45e-07
"AT2G14890",-0.469438139705975,0.0462450346370714,"AGP9","AGP9 [Source:UniProtKB/TrEMBL;Acc:A0A178VSX2]","AGP9","p","nm2",-0.296251253770981,0.00744804248908541,NA,NA,2.244853572,1.34e-40
"AT2G14890",0.451391356717666,0.0166603134564542,"AGP9","AGP9 [Source:UniProtKB/TrEMBL;Acc:A0A178VSX2]","AGP9","p","em24",-0.296251253770981,0.00744804248908541,NA,NA,2.244853572,1.34e-40
"AT2G15480",-0.371690433688182,0.0397611720480894,"UGT73B5","Glycosyltransferase [Source:UniProtKB/TrEMBL;Acc:F4IIG3]","UGT73B5","p","nm2",0.843485958780836,7.57220802636024e-05,2.151,6.4e-05,-1.908973837,1.29e-32
"AT2G15490",-0.515718221265446,0.0356774337176783,"UGT73B4","UDP-glycosyltransferase 73B4 [Source:UniProtKB/Swiss-Prot;Acc:Q7Y232]","UGT73B4","p","nm2",0.831549218594917,3.66544995392804e-05,4.4,0.00014,-3.403209834,4.18e-58
"AT2G16660",-0.680013351605266,0.00496449659251435,"","At2g16660/T24I21.7 [Source:UniProtKB/TrEMBL;Acc:Q9SLF1]","","r","em2",-0.333192981491836,0.0230878548303779,NA,NA,-0.430037467,0.011360353
"AT2G17420",0.714058592935763,0.0154028565893651,"NTRA","Thioredoxin reductase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q39242]","NTR2","p","em24",0.395885135716451,0.00153762937122817,NA,NA,-0.346933754,0.000411091
"AT2G18290",0.463303897053678,0.0112591098474925,"APC10","Anaphase-promoting complex subunit 10 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZPW2]","APC10","p","em2",-0.958032548155548,1.21282450781702e-06,NA,NA,0.654653224,1.85e-05
"AT2G20570",-0.547815246577462,9.98776217136505e-05,"GPRI1","GBF's pro-rich region-interacting factor 1 [Source:UniProtKB/TrEMBL;Acc:F4IVF9]","GPRI1","r","em2",0.503184074798403,0.000486279063024473,NA,NA,-0.61018029,1.46e-05
"AT2G20570",-0.565411066653866,0.000382041331874446,"GPRI1","GBF's pro-rich region-interacting factor 1 [Source:UniProtKB/TrEMBL;Acc:F4IVF9]","GPRI1","p","em2",0.503184074798403,0.000486279063024473,NA,NA,-0.61018029,1.46e-05
"AT2G20850",0.434901407498166,0.0362094581789322,"SRF1","Protein STRUBBELIG-RECEPTOR FAMILY 1 [Source:UniProtKB/Swiss-Prot;Acc:Q06BH3]","SRF1","p","nm2",-0.558657164628353,0.00070732965457093,NA,NA,0.236411948,0.034619763
"AT2G20850",-0.397772194527441,0.0356446614642433,"SRF1","Protein STRUBBELIG-RECEPTOR FAMILY 1 [Source:UniProtKB/Swiss-Prot;Acc:Q06BH3]","SRF1","p","en2",-0.558657164628353,0.00070732965457093,NA,NA,0.236411948,0.034619763
"AT2G22170",-0.575314847347744,0.00182904653431675,"","PLAT domain-containing protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SIE7]","PLAT2","p","nm2",NA,NA,NA,NA,0.961221709,5.97e-08
"AT2G22430",-0.40664612210031,0.0197392200015614,"ATHB6","Homeobox-leucine zipper protein ATHB-6 [Source:UniProtKB/Swiss-Prot;Acc:P46668]","ATHB-6","p","nm2",0.988540031456028,1.63516558795345e-06,1.062,0.00022,-0.372344439,1.07e-07
"AT2G22470",-0.81746843854537,0.0229917789055286,"AGP2","Classical arabinogalactan protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJY7]","AGP2","p","nm2",1.51636573489225,2.2243830794246e-08,NA,NA,-1.195559935,3.38e-07
"AT2G22470",0.803822108886717,0.0264162178843088,"AGP2","Classical arabinogalactan protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJY7]","AGP2","p","em24",1.51636573489225,2.2243830794246e-08,NA,NA,-1.195559935,3.38e-07
"AT2G22500",1.52830190727318,0.0119849739272824,"UCP5","Mitochondrial uncoupling protein 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJY5]","PUMP5","p","en24",0.960016881738775,3.09050712585693e-06,NA,NA,-1.358793941,0.000148096
"AT2G22500",0.960127514553869,0.00360625922054331,"UCP5","Mitochondrial uncoupling protein 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJY5]","PUMP5","p","em24",0.960016881738775,3.09050712585693e-06,NA,NA,-1.358793941,0.000148096
"AT2G22500",-0.477260385188182,0.0499165350385029,"UCP5","Mitochondrial uncoupling protein 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJY5]","PUMP5","p","nm2",0.960016881738775,3.09050712585693e-06,NA,NA,-1.358793941,0.000148096
"AT2G23130",-1.09174120781539,0.00266379188820674,"AGP17","Lysine-rich arabinogalactan protein 17 [Source:UniProtKB/Swiss-Prot;Acc:O22194]","AGP17","p","en2",-2.04133494375327,1.22884605076018e-08,NA,NA,1.160521016,2.46e-16
"AT2G23810",1.09548581586815,6.59627122657146e-06,"TET8","TET8 [Source:UniProtKB/TrEMBL;Acc:A0A178VYI5]","TET8","p","em24",1.48038531573454,2.03207796482198e-08,NA,NA,-1.178275602,1.81e-15
"AT2G23810",1.44142128669449,0.0241532326491704,"TET8","TET8 [Source:UniProtKB/TrEMBL;Acc:A0A178VYI5]","TET8","p","en24",1.48038531573454,2.03207796482198e-08,NA,NA,-1.178275602,1.81e-15
"AT2G24240",0.917119467635417,0.00223546866491402,"","BTB/POZ domain-containing protein At2g24240 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZUH1]","","p","em2",NA,NA,NA,NA,-0.477659047,0.012772907
"AT2G24240",0.788875384997549,0.0158987081252427,"","BTB/POZ domain-containing protein At2g24240 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZUH1]","","p","en2",NA,NA,NA,NA,-0.477659047,0.012772907
"AT2G25200",1.09572760483868,0.0494882389966112,"","At2g25200 [Source:UniProtKB/TrEMBL;Acc:Q9SIS2]","","r","em2",-0.87184401512955,2.87193190786738e-05,NA,NA,0.867161541,8.92e-12
"AT2G25250",-0.412278252996418,0.0338479144800446,"","At2g25250 [Source:UniProtKB/TrEMBL;Acc:Q9SIR8]","","p","nm2",NA,NA,NA,NA,-0.730103954,0.004004787
"AT2G26530",1.13914347362946,0.0423101326568206,"AR781","AR781 [Source:UniProtKB/TrEMBL;Acc:A0A178VPT1]","AR781","p","en6",0.826728281629683,1.4645539524889e-05,NA,NA,-0.835446028,0.000159102
"AT2G26530",1.07919172720867,0.000696849208509577,"AR781","AR781 [Source:UniProtKB/TrEMBL;Acc:A0A178VPT1]","AR781","p","em24",0.826728281629683,1.4645539524889e-05,NA,NA,-0.835446028,0.000159102
"AT2G27080",0.623911854925868,0.0342280398019826,"","NDR1/HIN1-like protein 13 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZVD2]","NHL13","p","em24",0.564531335751551,0.0001330689910925,NA,NA,-1.343216332,5.2e-08
"AT2G27310",0.65724882661077,0.0328907397636885,"","F-box protein At2g27310 [Source:UniProtKB/Swiss-Prot;Acc:Q9XIN8]","","p","en6",0.457476724646075,0.00207267787278846,NA,NA,-1.145025709,2.65e-09
"AT2G27510",-0.374600487873213,0.0335513487560107,"ATFD3","Ferredoxin [Source:UniProtKB/TrEMBL;Acc:A0A178VWS0]","FD3","p","nm2",1.06612985373518,2.37573741435713e-07,0.702,0.0081,-1.269840649,1.9e-10
"AT2G27510",0.767870650613909,7.79323632477007e-05,"ATFD3","Ferredoxin [Source:UniProtKB/TrEMBL;Acc:A0A178VWS0]","FD3","p","em24",1.06612985373518,2.37573741435713e-07,0.702,0.0081,-1.269840649,1.9e-10
"AT2G27830",0.728159292836108,0.00829546348491069,"","Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q9ZUY4]","","r","em2",0.785110902489712,8.59322029541251e-05,NA,NA,-0.310575302,0.008430527
"AT2G27830",0.877913702216586,0.000978389283824872,"","Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q9ZUY4]","","p","en2",0.785110902489712,8.59322029541251e-05,NA,NA,-0.310575302,0.008430527
"AT2G30020",0.935312412583419,1.98049371351362e-07,"","PP2C-type phosphatase AP2C1 [Source:UniProtKB/TrEMBL;Acc:F6LPR5]","","p","em24",NA,NA,NA,NA,-1.156758114,0.000548546
"AT2G30020",1.09205263373175,0.00962486992383051,"","PP2C-type phosphatase AP2C1 [Source:UniProtKB/TrEMBL;Acc:F6LPR5]","","p","en24",NA,NA,NA,NA,-1.156758114,0.000548546
"AT2G30860",-0.472370758006583,0.0356774337176783,"ATGSTF9","GSTF9 [Source:UniProtKB/TrEMBL;Acc:A0A178VP05]","GSTF9","p","nm2",NA,NA,NA,NA,-0.629642279,3.79e-06
"AT2G30870",-0.524977760531511,0.0359585934255903,"ATGSTF10","Glutathione S-transferase F10 [Source:UniProtKB/Swiss-Prot;Acc:P42761]","GSTF10","p","nm2",0.339268273529792,0.000636793643350111,NA,NA,-0.439112936,0.00011462
"AT2G31570",0.379572663749914,0.00676903028884145,"ATGPX2","Probable glutathione peroxidase 2 [Source:UniProtKB/Swiss-Prot;Acc:O04922]","GPX2","p","nm2",0.684506909428259,1.19143503729861e-06,NA,NA,-0.536272908,2.45e-07
"AT2G32030",1.10022936745159,0.0114109794268492,"","Acyl-CoA N-acyltransferases (NAT) superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9SKZ6]","","p","em24",1.0500189989527,5.24620961567313e-05,1.171,3e-04,-1.636199165,6.6e-09
"AT2G34660",-0.372026632987882,0.0403196288199512,"MRP2","ABC transporter C family member 2 [Source:UniProtKB/Swiss-Prot;Acc:Q42093]","ABCC2","p","em2",0.741600841190348,8.57193009602852e-05,1.102,0.0025,-0.523116144,0.000807568
"AT2G35150",-0.922043897315556,0.00557687687678624,"EXL1","EXL7 [Source:UniProtKB/TrEMBL;Acc:A0A178VYH7]","EXL7","p","nm2",-0.497237122201561,0.00440433919747844,NA,NA,1.408292416,0.026495649
"AT2G35450",0.468450705505567,0.0349959115473483,"","Catalytic/ hydrolase [Source:UniProtKB/TrEMBL;Acc:Q682E0]","","p","nm2",-0.946892731463055,6.48588590111408e-05,NA,NA,0.33256054,0.020004824
"AT2G35930",0.769200464563906,0.000280171056717659,"PUB23","E3 ubiquitin-protein ligase PUB23 [Source:UniProtKB/Swiss-Prot;Acc:Q84TG3]","PUB23","p","em24",NA,NA,NA,NA,-0.827944503,1.81e-08
"AT2G36630",-0.555087225875106,0.0486104306346156,"","Sulfite exporter TauE/SafE family protein 4 [Source:UniProtKB/Swiss-Prot;Acc:Q8S9J0]","","p","em24",NA,NA,NA,NA,-1.170850578,2.16e-16
"AT2G38210",0.697540063242692,0.024831220130685,"PDX1L4","Pyridoxal 5'-phosphate synthase PDX1-like 4 [Source:UniProtKB/Swiss-Prot;Acc:O80446]","PDX1L4","p","em2",-1.29206204490993,4.90475963332708e-08,1.098,0.0039,-1.261804024,1.64e-05
"AT2G38470",1.09993571128497,7.75361417916706e-05,"WRKY33","WRKY33 [Source:UniProtKB/TrEMBL;Acc:A0A384L4W4]","WRKY33","p","em24",1.83009870583087,4.18437514465665e-08,0.714,0.008,-0.767972815,2.59e-06
"AT2G38470",1.44058147265975,0.0123966777150419,"WRKY33","WRKY33 [Source:UniProtKB/TrEMBL;Acc:A0A384L4W4]","WRKY33","p","en6",1.83009870583087,4.18437514465665e-08,0.714,0.008,-0.767972815,2.59e-06
"AT2G38470",1.50842443689579,0.0458014481361342,"WRKY33","WRKY33 [Source:UniProtKB/TrEMBL;Acc:A0A384L4W4]","WRKY33","r","em24",1.83009870583087,4.18437514465665e-08,0.714,0.008,-0.767972815,2.59e-06
"AT2G38470",1.12669778010919,0.043840478485944,"WRKY33","WRKY33 [Source:UniProtKB/TrEMBL;Acc:A0A384L4W4]","WRKY33","p","en24",1.83009870583087,4.18437514465665e-08,0.714,0.008,-0.767972815,2.59e-06
"AT2G38540",-0.397545893330082,0.0311651655937755,"LP1","Non-specific lipid-transfer protein [Source:UniProtKB/TrEMBL;Acc:A0A178VZQ3]","LTP1","r","em2",-0.908398130993144,4.81343137257437e-07,NA,NA,0.332479087,0.000205027
"AT2G38820",0.797347093809856,0.000978389283824872,"","Protein of unknown function (DUF506) [Source:TAIR;Acc:AT2G38820]","","p","en2",-1.23709851424425,1.28471049679662e-06,NA,NA,-0.306147021,0.01991398
"AT2G39280",-0.793361775043624,0.00397681118459003,"","Ypt/Rab-GAP domain of gyp1p superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4IUX9]","","p","em24",NA,NA,NA,NA,0.387493607,0.028668381
"AT2G39310",0.770273440425684,0.0448468381711907,"JAL22","Jacalin-related lectin 22 [Source:UniProtKB/Swiss-Prot;Acc:O80950]","JAL22","p","en24",-2.31041242008066,4.87469392986638e-08,NA,NA,-1.225436101,2.38e-25
"AT2G39570",0.627749474412102,0.0281093784757323,"","ACT domain-containing protein ACR9 [Source:UniProtKB/Swiss-Prot;Acc:O80644]","ACR9","r","em2",-0.661225138313896,0.00153835379116719,NA,NA,-0.281092109,0.001876402
"AT2G40000",1.05380819968118,0.039482829363999,"HSPRO2","Nematode resistance protein-like HSPRO2 [Source:UniProtKB/Swiss-Prot;Acc:O04203]","HSPRO2","p","em2",NA,NA,NA,NA,-0.42998054,0.024166604
"AT2G40000",1.80437607149895,0.041074500792588,"HSPRO2","Nematode resistance protein-like HSPRO2 [Source:UniProtKB/Swiss-Prot;Acc:O04203]","HSPRO2","p","en6",NA,NA,NA,NA,-0.42998054,0.024166604
"AT2G40000",1.38131866582873,0.000156567144425469,"HSPRO2","Nematode resistance protein-like HSPRO2 [Source:UniProtKB/Swiss-Prot;Acc:O04203]","HSPRO2","p","em24",NA,NA,NA,NA,-0.42998054,0.024166604
"AT2G40000",-1.42176590705146,0.00660143217116547,"HSPRO2","Nematode resistance protein-like HSPRO2 [Source:UniProtKB/Swiss-Prot;Acc:O04203]","HSPRO2","r","nm6",NA,NA,NA,NA,-0.42998054,0.024166604
"AT2G40000",1.21244944557015,3.38976264172667e-06,"HSPRO2","Nematode resistance protein-like HSPRO2 [Source:UniProtKB/Swiss-Prot;Acc:O04203]","HSPRO2","r","em2",NA,NA,NA,NA,-0.42998054,0.024166604
"AT2G40000",1.78959079449019,0.00547154992583781,"HSPRO2","Nematode resistance protein-like HSPRO2 [Source:UniProtKB/Swiss-Prot;Acc:O04203]","HSPRO2","r","en6",NA,NA,NA,NA,-0.42998054,0.024166604
"AT2G40080",-0.628988802341127,0.012482611541453,"ELF4","Protein EARLY FLOWERING 4 [Source:UniProtKB/Swiss-Prot;Acc:O04211]","ELF4","p","en6",0.342034325405394,0.0160012480808053,NA,NA,-0.626460939,0.039351557
"AT2G40140",1.3922152992441,2.50921830089628e-06,"CZF1","Zinc finger CCCH domain-containing protein 29 [Source:UniProtKB/Swiss-Prot;Acc:Q9XEE6]","CZF1","p","en24",1.15962240531305,2.27272564077074e-07,NA,NA,-0.920655014,7.93e-05
"AT2G40140",1.17787653283874,6.9905674380268e-13,"CZF1","Zinc finger CCCH domain-containing protein 29 [Source:UniProtKB/Swiss-Prot;Acc:Q9XEE6]","CZF1","p","em24",1.15962240531305,2.27272564077074e-07,NA,NA,-0.920655014,7.93e-05
"AT2G41100",0.97201839526819,0.00557062008107789,"TCH3","Calmodulin-like protein 12 [Source:UniProtKB/Swiss-Prot;Acc:P25071]","CML12","p","em24",1.12808560301218,1.71732423344453e-06,NA,NA,-0.429966609,0.006396181
"AT2G41100",1.58585669674874,0.0143698950730706,"TCH3","Calmodulin-like protein 12 [Source:UniProtKB/Swiss-Prot;Acc:P25071]","CML12","r","em24",1.12808560301218,1.71732423344453e-06,NA,NA,-0.429966609,0.006396181
"AT2G41410",1.25191075306877,0.0328612621981636,"","Probable calcium-binding protein CML35 [Source:UniProtKB/Swiss-Prot;Acc:P30188]","CML35","p","en24",1.39010301967044,6.85037759202775e-09,NA,NA,-0.693652279,5.35e-09
"AT2G41410",0.763117449535927,0.00138221849565726,"","Probable calcium-binding protein CML35 [Source:UniProtKB/Swiss-Prot;Acc:P30188]","CML35","p","em24",1.39010301967044,6.85037759202775e-09,NA,NA,-0.693652279,5.35e-09
"AT2G42540",-2.2391667683805,0.036641880766724,"COR15A","Protein COLD-REGULATED 15A, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q42512]","COR15A","r+p","nm6",NA,NA,0.792,0.032,-1.057303261,0.023717671
"AT2G43535",-1.57707561839064,9.9932413610161e-09,"","Defensin-like protein 196 [Source:UniProtKB/Swiss-Prot;Acc:Q8RYE7]","ATTI4","r+p","em2",-2.29164568706378,1.29729376184343e-09,NA,NA,-0.872017264,1.17e-06
"AT2G43535",-1.36010910770159,0.0388641534230449,"","Defensin-like protein 196 [Source:UniProtKB/Swiss-Prot;Acc:Q8RYE7]","ATTI4","r","nm2",-2.29164568706378,1.29729376184343e-09,NA,NA,-0.872017264,1.17e-06
"AT2G43535",-1.4072409593309,0.0189558550892324,"","Defensin-like protein 196 [Source:UniProtKB/Swiss-Prot;Acc:Q8RYE7]","ATTI4","p","nm2",-2.29164568706378,1.29729376184343e-09,NA,NA,-0.872017264,1.17e-06
"AT2G45050",-0.564293398714514,0.00852269988212685,"GATA2","GATA transcription factor 2 [Source:UniProtKB/Swiss-Prot;Acc:O49741]","GATA2","p","nm2",NA,NA,NA,NA,-1.746315369,3.57e-08
